id,dateObserved,lat,long,weight,day_diff
124491.535_486175.416-Rest,2020-09-09T04:03:36.000Z,52.36262,4.939314,360,6
124491.535_486175.416-Rest,2020-09-09T04:04:44.000Z,52.36262,4.939314,95,0
124491.535_486175.416-Rest,2020-09-09T04:05:50.000Z,52.36262,4.939314,355,0
124393.097_486173.838-Rest,2020-09-09T04:08:21.000Z,52.362602,4.937869,305,6
124293.796_486179.341-Rest,2020-09-09T04:11:03.000Z,52.362648,4.936411,415,6
124293.796_486179.341-Rest,2020-09-09T04:12:12.000Z,52.362648,4.936411,160,0
124737.613_486573.358-Rest,2020-09-09T04:14:06.000Z,52.36621,4.9428906,300,6
120338.031_482322.473-Rest,2020-09-09T04:15:05.000Z,52.327747,4.8787355,25,6
124272.814_486150.392-Rest,2020-09-09T04:15:10.000Z,52.362385,4.9361053,330,6
120338.031_482322.473-Rest,2020-09-09T04:16:33.000Z,52.327747,4.8787355,280,0
124681.856_486495.518-Rest,2020-09-09T04:17:51.000Z,52.36551,4.942079,405,6
125267.574_486862.700-Rest,2020-09-09T04:18:06.000Z,52.368843,4.950646,195,6
120338.031_482322.473-Rest,2020-09-09T04:18:11.000Z,52.327747,4.8787355,110,0
124137.846_486175.749-Rest,2020-09-09T04:18:16.000Z,52.362606,4.9341216,330,6
124681.856_486495.518-Rest,2020-09-09T04:19:12.000Z,52.36551,4.942079,185,0
124137.846_486175.749-Rest,2020-09-09T04:19:20.000Z,52.362606,4.9341216,240,0
124654.897_486016.963-Rest,2020-09-09T04:19:21.000Z,52.361206,4.9417267,455,10
119595.853_483952.719-Rest,2020-09-09T04:19:54.000Z,52.342354,4.867677,220,6
124654.897_486016.963-Rest,2020-09-09T04:20:38.000Z,52.361206,4.9417267,560,0
119595.853_483952.719-Rest,2020-09-09T04:21:07.000Z,52.342354,4.867677,160,0
124041.946_486160.770-Rest,2020-09-09T04:21:50.000Z,52.362465,4.9327154,290,6
119595.853_483952.719-Rest,2020-09-09T04:22:34.000Z,52.342354,4.867677,240,0
124041.946_486160.770-Rest,2020-09-09T04:22:44.000Z,52.362465,4.9327154,400,0
124654.897_486016.963-Rest,2020-09-09T04:24:23.000Z,52.361206,4.9417267,300,0
124008.671_486077.797-Rest,2020-09-09T04:25:43.000Z,52.361717,4.9322343,255,6
124670.220_486442.521-Rest,2020-09-09T04:25:44.000Z,52.365032,4.941913,240,6
119466.976_483908.635-Rest,2020-09-09T04:26:03.000Z,52.34195,4.865791,65,6
124008.671_486077.797-Rest,2020-09-09T04:26:47.000Z,52.361717,4.9322343,365,0
124670.220_486442.521-Rest,2020-09-09T04:26:50.000Z,52.365032,4.941913,580,0
123727.248_487601.437-Rest,2020-09-09T04:27:18.000Z,52.375397,4.9279613,280,1
119466.976_483908.635-Rest,2020-09-09T04:27:21.000Z,52.34195,4.865791,110,0
120137.202_482272.749-Rest,2020-09-09T04:27:32.000Z,52.32729,4.875795,185,6
124079.021_486110.123-Rest,2020-09-09T04:28:56.000Z,52.36201,4.9332643,140,1
123727.248_487601.437-Rest,2020-09-09T04:29:20.000Z,52.375397,4.9279613,465,0
120137.202_482272.749-Rest,2020-09-09T04:29:35.000Z,52.32729,4.875795,150,0
124663.362_485910.161-Rest,2020-09-09T04:30:14.000Z,52.36025,4.9418607,290,10
120137.202_482272.749-Rest,2020-09-09T04:31:04.000Z,52.32729,4.875795,175,0
119599.818_483883.537-Rest,2020-09-09T04:31:17.000Z,52.341732,4.867743,225,6
124574.199_486366.456-Rest,2020-09-09T04:31:29.000Z,52.364346,4.9405103,460,11
124663.362_485910.161-Rest,2020-09-09T04:31:37.000Z,52.36025,4.9418607,300,0
124161.688_486140.873-Rest,2020-09-09T04:31:40.000Z,52.362293,4.934475,360,6
119599.818_483883.537-Rest,2020-09-09T04:32:47.000Z,52.341732,4.867743,115,0
124161.688_486140.873-Rest,2020-09-09T04:32:49.000Z,52.362293,4.934475,285,0
124574.199_486366.456-Rest,2020-09-09T04:32:52.000Z,52.364346,4.9405103,500,0
123678.943_487615.608-Rest,2020-09-09T04:34:34.000Z,52.37552,4.927251,200,4
124572.744_485896.898-Rest,2020-09-09T04:34:46.000Z,52.360123,4.9405313,400,7
124413.465_485389.587-Rest,2020-09-09T04:35:47.000Z,52.355556,4.9382396,230,1
124572.744_485896.898-Rest,2020-09-09T04:35:50.000Z,52.360123,4.9405313,210,0
123678.943_487615.608-Rest,2020-09-09T04:36:13.000Z,52.37552,4.927251,155,0
124193.079_486087.785-Rest,2020-09-09T04:36:47.000Z,52.361816,4.934941,355,6
119700.512_483976.501-Rest,2020-09-09T04:37:02.000Z,52.342575,4.8692107,165,6
124193.079_486087.785-Rest,2020-09-09T04:37:46.000Z,52.361816,4.934941,270,0
119700.512_483976.501-Rest,2020-09-09T04:38:24.000Z,52.342575,4.8692107,315,0
119700.512_483976.501-Rest,2020-09-09T04:40:00.000Z,52.342575,4.8692107,250,0
124263.277_486113.956-Rest,2020-09-09T04:40:29.000Z,52.362057,4.935969,405,6
124535.962_485968.544-Rest,2020-09-09T04:40:44.000Z,52.360767,4.939985,155,7
124263.277_486113.956-Rest,2020-09-09T04:41:31.000Z,52.362057,4.935969,395,0
124523.055_486446.272-Rest,2020-09-09T04:41:40.000Z,52.36506,4.939752,420,6
123630.391_487629.269-Rest,2020-09-09T04:41:41.000Z,52.37564,4.9265366,190,4
124395.149_485048.589-Rest,2020-09-09T04:41:48.000Z,52.35249,4.9380016,85,1
119714.231_484021.645-Rest,2020-09-09T04:42:47.000Z,52.34298,4.869407,100,6
124523.055_486446.272-Rest,2020-09-09T04:42:59.000Z,52.36506,4.939752,425,0
124358.923_486120.400-Rest,2020-09-09T04:43:52.000Z,52.36212,4.937372,190,1
119714.231_484021.645-Rest,2020-09-09T04:43:54.000Z,52.34298,4.869407,150,0
119320.704_484863.330-Rest,2020-09-09T04:44:04.000Z,52.350517,4.8635435,895,1
124523.055_486446.272-Rest,2020-09-09T04:44:31.000Z,52.36506,4.939752,230,0
119320.704_484863.330-Rest,2020-09-09T04:45:22.000Z,52.350517,4.8635435,370,0
123581.532_487642.997-Rest,2020-09-09T04:46:28.000Z,52.37576,4.9258175,245,4
124425.617_484799.828-Rest,2020-09-09T04:46:34.000Z,52.350254,4.9384713,315,1
119773.198_484027.739-Rest,2020-09-09T04:47:05.000Z,52.343037,4.8702717,170,6
124444.847_486095.621-Rest,2020-09-09T04:47:05.000Z,52.361904,4.938636,445,7
119872.894_482270.637-Rest,2020-09-09T04:47:11.000Z,52.32725,4.871918,125,6
123581.532_487642.997-Rest,2020-09-09T04:47:58.000Z,52.37576,4.9258175,390,0
118955.119_484784.326-Rest,2020-09-09T04:48:08.000Z,52.349785,4.8581862,55,1
119773.198_484027.739-Rest,2020-09-09T04:48:21.000Z,52.343037,4.8702717,345,0
119872.894_482270.637-Rest,2020-09-09T04:48:21.000Z,52.32725,4.871918,300,0
124382.269_486020.678-Rest,2020-09-09T04:48:28.000Z,52.361225,4.937724,255,6
124444.847_486095.621-Rest,2020-09-09T04:48:31.000Z,52.361904,4.938636,390,0
119419.162_484709.097-Rest,2020-09-09T04:49:09.000Z,52.34914,4.8650045,195,6
124444.847_486095.621-Rest,2020-09-09T04:49:30.000Z,52.361904,4.938636,260,0
113686.738_484756.378-Rest,2020-09-09T04:49:31.000Z,52.349163,4.7808714,260,17
124382.269_486020.678-Rest,2020-09-09T04:49:31.000Z,52.361225,4.937724,255,0
119872.894_482270.637-Rest,2020-09-09T04:49:44.000Z,52.32725,4.871918,175,0
121559.623_493026.675-Rest,2020-09-09T04:50:14.000Z,52.424026,4.89559,2415,8
124260.177_484921.581-Rest,2020-09-09T04:50:21.000Z,52.35134,4.9360323,230,1
119419.162_484709.097-Rest,2020-09-09T04:50:34.000Z,52.34914,4.8650045,610,0
119850.476_484032.018-Rest,2020-09-09T04:51:26.000Z,52.343082,4.8714056,210,6
124475.319_486513.790-Rest,2020-09-09T04:51:26.000Z,52.36566,4.9390454,75,252
122864.136_489038.661-Rest,2020-09-09T04:51:43.000Z,52.388264,4.915149,1680,3
123485.932_487668.056-Rest,2020-09-09T04:52:23.000Z,52.37598,4.9244113,200,4
124475.319_486513.790-Rest,2020-09-09T04:52:30.000Z,52.36566,4.9390454,15,0
113496.029_484746.173-Rest,2020-09-09T04:52:35.000Z,52.349056,4.778074,430,17
119850.476_484032.018-Rest,2020-09-09T04:52:58.000Z,52.343082,4.8714056,430,0
121491.278_485585.313-Rest,2020-09-09T04:53:27.000Z,52.357143,4.8953276,605,6
123485.932_487668.056-Rest,2020-09-09T04:53:36.000Z,52.37598,4.9244113,280,0
124921.036_486035.547-Rest,2020-09-09T04:53:59.000Z,52.36139,4.945632,410,6
119460.739_484571.749-Rest,2020-09-09T04:54:08.000Z,52.347908,4.865629,390,6
119277.027_485246.406-Rest,2020-09-09T04:54:44.000Z,52.35396,4.8628616,55,4
121491.278_485585.313-Rest,2020-09-09T04:54:48.000Z,52.357143,4.8953276,525,0
124921.036_486035.547-Rest,2020-09-09T04:54:50.000Z,52.36139,4.945632,165,0
124600.315_485783.953-Rest,2020-09-09T04:55:00.000Z,52.35911,4.9409466,445,13
119460.739_484571.749-Rest,2020-09-09T04:55:23.000Z,52.347908,4.865629,380,0
121670.674_492726.286-Rest,2020-09-09T04:55:31.000Z,52.421333,4.897252,3235,27
124600.315_485783.953-Rest,2020-09-09T04:56:27.000Z,52.35911,4.9409466,315,0
113814.528_484683.268-Rest,2020-09-09T04:56:51.000Z,52.348515,4.7827554,330,17
121324.370_492994.896-Rest,2020-09-09T04:57:39.000Z,52.423725,4.8921347,2370,6
113814.528_484683.268-Rest,2020-09-09T04:57:43.000Z,52.348515,4.7827554,180,0
119686.471_483879.096-Rest,2020-09-09T04:57:49.000Z,52.341698,4.8690147,220,6
124869.884_485761.239-Rest,2020-09-09T04:57:54.000Z,52.35892,4.9449058,290,6
119479.121_484433.968-Rest,2020-09-09T04:58:41.000Z,52.346672,4.865914,595,6
124869.884_485761.239-Rest,2020-09-09T04:58:55.000Z,52.35892,4.9449058,210,0
119479.121_484433.968-Rest,2020-09-09T04:59:54.000Z,52.346672,4.865914,545,0
121577.372_492688.930-Rest,2020-09-09T05:00:25.000Z,52.42099,4.8958845,3145,12
119816.495_483864.156-Rest,2020-09-09T05:00:51.000Z,52.34157,4.8709245,175,6
124442.711_486390.400-Rest,2020-09-09T05:00:52.000Z,52.36455,4.9385777,510,6
121326.148_485600.380-Rest,2020-09-09T05:01:07.000Z,52.35727,4.8929024,2165,6
119816.495_483864.156-Rest,2020-09-09T05:01:56.000Z,52.34157,4.8709245,80,0
122926.770_488820.934-Rest,2020-09-09T05:02:09.000Z,52.38631,4.91609,2860,15
124442.711_486390.400-Rest,2020-09-09T05:02:11.000Z,52.36455,4.9385777,510,0
113520.958_485095.013-Rest,2020-09-09T05:02:46.000Z,52.352196,4.7783966,410,17
119816.495_483864.156-Rest,2020-09-09T05:03:22.000Z,52.34157,4.8709245,255,0
118951.795_482313.174-Rest,2020-09-09T05:03:51.000Z,52.327576,4.8584023,275,21
125377.270_481059.600-Rest,2020-09-09T05:04:02.000Z,52.316692,4.9527674,325,2
121486.779_492727.043-Rest,2020-09-09T05:05:34.000Z,52.42133,4.894549,3245,19
113204.437_485258.428-Rest,2020-09-09T05:06:13.000Z,52.353638,4.7737308,365,17
123413.683_487686.960-Rest,2020-09-09T05:06:21.000Z,52.37615,4.9233484,315,4
119895.811_482238.577-Rest,2020-09-09T05:06:31.000Z,52.326965,4.8722577,65,13
121367.194_492931.492-Rest,2020-09-09T05:06:38.000Z,52.42316,4.892771,2415,6
120289.062_485774.844-Rest,2020-09-09T05:07:01.000Z,52.358772,4.877661,100,5
123127.535_488332.901-Rest,2020-09-09T05:07:43.000Z,52.381935,4.9190855,2890,17
124787.782_485833.503-Rest,2020-09-09T05:07:45.000Z,52.359566,4.9436936,5,6
119895.811_482238.577-Rest,2020-09-09T05:07:47.000Z,52.326965,4.8722577,75,0
124787.782_485833.503-Rest,2020-09-09T05:08:48.000Z,52.359566,4.9436936,260,0
123366.247_487698.458-Rest,2020-09-09T05:10:44.000Z,52.376247,4.922651,390,4
119672.936_484576.161-Rest,2020-09-09T05:11:02.000Z,52.34796,4.868743,155,7
119112.844_482240.346-Rest,2020-09-09T05:11:13.000Z,52.32693,4.860772,220,21
121114.900_485381.273-Rest,2020-09-09T05:11:52.000Z,52.355286,4.8898234,675,6
120045.956_484119.784-Rest,2020-09-09T05:11:53.000Z,52.343884,4.8742647,210,6
119672.936_484576.161-Rest,2020-09-09T05:12:08.000Z,52.34796,4.868743,165,0
120862.264_492797.279-Rest,2020-09-09T05:12:23.000Z,52.42192,4.8853617,2910,19
124712.132_485816.445-Rest,2020-09-09T05:12:41.000Z,52.35941,4.942585,525,6
120045.956_484119.784-Rest,2020-09-09T05:12:58.000Z,52.343884,4.8742647,175,0
119725.884_482234.363-Rest,2020-09-09T05:13:11.000Z,52.32692,4.8697653,95,13
119112.844_482240.346-Rest,2020-09-09T05:13:21.000Z,52.32693,4.860772,215,0
121114.900_485381.273-Rest,2020-09-09T05:13:36.000Z,52.355286,4.8898234,975,0
122985.871_488579.521-Rest,2020-09-09T05:13:57.000Z,52.384144,4.916981,3015,14
119725.884_482234.363-Rest,2020-09-09T05:14:15.000Z,52.32692,4.8697653,80,0
122985.871_488579.521-Rest,2020-09-09T05:14:18.000Z,52.384144,4.916981,3095,0
123250.170_487726.274-Rest,2020-09-09T05:15:05.000Z,52.37649,4.9209437,405,4
121370.161_492851.803-Rest,2020-09-09T05:15:16.000Z,52.422443,4.8928223,2385,36
119756.255_484688.703-Rest,2020-09-09T05:15:45.000Z,52.348976,4.869954,515,7
120170.487_484127.822-Rest,2020-09-09T05:16:04.000Z,52.343964,4.8760915,150,6
124512.648_486349.470-Rest,2020-09-09T05:16:07.000Z,52.36419,4.939608,325,6
114009.335_485613.935-Rest,2020-09-09T05:16:43.000Z,52.356895,4.785501,300,17
119784.482_482189.118-Rest,2020-09-09T05:17:11.000Z,52.326515,4.87063,50,13
120170.487_484127.822-Rest,2020-09-09T05:17:12.000Z,52.343964,4.8760915,70,0
124512.648_486349.470-Rest,2020-09-09T05:17:38.000Z,52.36419,4.939608,435,0
118958.394_482220.635-Rest,2020-09-09T05:17:48.000Z,52.326744,4.858509,15,21
120170.487_484127.822-Rest,2020-09-09T05:18:28.000Z,52.343964,4.8760915,175,0
119784.482_482189.118-Rest,2020-09-09T05:18:34.000Z,52.326515,4.87063,130,0
124512.648_486349.470-Rest,2020-09-09T05:19:07.000Z,52.36419,4.939608,440,0
