id,dateObserved,lat,long,weight,day_diff
122468.158_485615.114-Rest,2020-03-16T04:57:42.000Z,52.35747,4.909664,150,3
122468.158_485615.114-Rest,2020-03-16T04:58:58.000Z,52.35747,4.909664,445,0
122354.199_485579.663-Rest,2020-03-16T05:02:46.000Z,52.357147,4.9079947,230,1
122436.139_485670.718-Rest,2020-03-16T05:07:40.000Z,52.357967,4.9091887,250,6
123615.611_485613.097-Rest,2020-03-16T05:11:54.000Z,52.35752,4.9265075,310,1
122281.984_485550.880-Rest,2020-03-16T05:13:06.000Z,52.356884,4.9069376,270,3
123567.354_485592.349-Rest,2020-03-16T05:14:16.000Z,52.35733,4.9258013,215,4
123567.354_485592.349-Rest,2020-03-16T05:15:22.000Z,52.35733,4.9258013,95,0
121728.651_491043.627-Rest,2020-03-16T05:15:57.000Z,52.406216,4.8982716,2710,13
122241.515_485677.390-Rest,2020-03-16T05:16:03.000Z,52.358017,4.906331,295,1
122801.658_489851.393-Rest,2020-03-16T05:18:12.000Z,52.395565,4.9141536,2605,58
123591.689_485509.250-Rest,2020-03-16T05:18:51.000Z,52.356586,4.926166,595,4
123149.466_489057.983-Rest,2020-03-16T05:19:46.000Z,52.388454,4.9193387,2470,5
123510.222_485478.162-Rest,2020-03-16T05:22:01.000Z,52.3563,4.924973,535,4
121760.584_490856.217-Rest,2020-03-16T05:22:08.000Z,52.404533,4.8987594,2640,24
121928.032_483921.708-Rest,2020-03-16T05:22:56.000Z,52.34222,4.901902,280,6
122746.762_489711.887-Rest,2020-03-16T05:23:21.000Z,52.394306,4.9133606,2655,6
121940.703_483947.072-Rest,2020-03-16T05:25:18.000Z,52.34245,4.902086,90,3
123388.425_485423.964-Rest,2020-03-16T05:25:51.000Z,52.35581,4.9231906,585,13
121940.703_483947.072-Rest,2020-03-16T05:26:28.000Z,52.34245,4.902086,225,0
122931.951_489735.570-Rest,2020-03-16T05:27:41.000Z,52.39453,4.916079,2960,6
122423.460_485726.522-Rest,2020-03-16T05:28:58.000Z,52.35847,4.908997,440,13
118465.512_485620.976-Rest,2020-03-16T05:29:08.000Z,52.357273,4.85091,85,3
122137.432_483997.143-Rest,2020-03-16T05:29:57.000Z,52.34291,4.9049673,155,6
123018.271_488620.246-Rest,2020-03-16T05:30:05.000Z,52.38451,4.9174533,2730,5
122137.432_483997.143-Rest,2020-03-16T05:31:10.000Z,52.34291,4.9049673,115,0
122929.984_489448.948-Rest,2020-03-16T05:33:45.000Z,52.391953,4.916077,2830,6
122142.559_484098.471-Rest,2020-03-16T05:34:13.000Z,52.343822,4.9050326,315,6
123622.761_485456.373-Rest,2020-03-16T05:35:12.000Z,52.35611,4.926627,190,1
122142.559_484098.471-Rest,2020-03-16T05:35:16.000Z,52.343822,4.9050326,325,0
122318.013_485470.151-Rest,2020-03-16T05:35:30.000Z,52.35616,4.9074745,495,3
123645.153_485465.699-Rest,2020-03-16T05:37:11.000Z,52.356197,4.9269547,350,1
122122.572_484196.926-Rest,2020-03-16T05:37:44.000Z,52.344704,4.90473,120,6
122122.572_484196.926-Rest,2020-03-16T05:38:41.000Z,52.344704,4.90473,320,0
122414.952_485513.211-Rest,2020-03-16T05:39:29.000Z,52.356552,4.908893,400,3
123696.530_485411.481-Rest,2020-03-16T05:40:41.000Z,52.355713,4.927714,230,3
122414.952_485513.211-Rest,2020-03-16T05:42:25.000Z,52.356552,4.908893,85,0
123625.254_485374.470-Rest,2020-03-16T05:42:47.000Z,52.355377,4.9266715,320,3
123463.408_486115.252-Rest,2020-03-16T05:45:19.000Z,52.362022,4.9242263,300,1
122472.934_485534.473-Rest,2020-03-16T05:45:51.000Z,52.356747,4.909742,445,3
122482.865_488858.416-Rest,2020-03-16T05:48:49.000Z,52.38662,4.9095664,2855,6
123568.765_485301.405-Rest,2020-03-16T05:51:23.000Z,52.354717,4.925849,125,1
121869.136_483853.890-Rest,2020-03-16T05:52:08.000Z,52.341606,4.901045,160,9
123568.765_485301.405-Rest,2020-03-16T05:52:17.000Z,52.354717,4.925849,170,0
122015.694_484059.366-Rest,2020-03-16T05:52:39.000Z,52.34346,4.903175,320,3
123661.685_486181.991-Rest,2020-03-16T05:52:43.000Z,52.362637,4.9271307,160,1
121869.136_483853.890-Rest,2020-03-16T05:53:08.000Z,52.341606,4.901045,170,0
122015.694_484059.366-Rest,2020-03-16T05:53:41.000Z,52.34346,4.903175,255,0
123711.576_486188.898-Rest,2020-03-16T05:55:35.000Z,52.3627,4.9278626,265,1
122853.076_488583.221-Rest,2020-03-16T05:55:42.000Z,52.38417,4.9150305,2790,6
123492.818_485222.696-Rest,2020-03-16T05:57:09.000Z,52.354004,4.9247417,260,3
123404.474_485238.177-Rest,2020-03-16T05:59:22.000Z,52.354137,4.9234433,305,3
125377.270_481059.600-Rest,2020-03-16T05:59:41.000Z,52.316692,4.9527674,145,1
122305.493_488983.590-Rest,2020-03-16T06:00:30.000Z,52.387733,4.9069486,495,3
121319.025_485527.155-Rest,2020-03-16T06:00:59.000Z,52.35661,4.892805,420,2
121352.496_484084.886-Rest,2020-03-16T06:01:59.000Z,52.34365,4.8934407,125,2
123346.291_485212.825-Rest,2020-03-16T06:02:09.000Z,52.353905,4.9225917,230,3
121916.240_484085.133-Rest,2020-03-16T06:03:00.000Z,52.34369,4.901713,200,3
121916.240_484085.133-Rest,2020-03-16T06:04:09.000Z,52.34369,4.901713,225,0
121337.801_485457.946-Rest,2020-03-16T06:04:36.000Z,52.35599,4.893088,925,2
123289.455_485169.578-Rest,2020-03-16T06:04:41.000Z,52.353516,4.921762,290,3
122926.770_488820.934-Rest,2020-03-16T06:05:20.000Z,52.38631,4.91609,2845,6
121809.304_483829.568-Rest,2020-03-16T06:06:16.000Z,52.341385,4.900169,25,2
121916.240_484085.133-Rest,2020-03-16T06:06:48.000Z,52.34369,4.901713,50,0
122658.626_488538.300-Rest,2020-03-16T06:06:50.000Z,52.383755,4.9121785,20,2
121809.304_483829.568-Rest,2020-03-16T06:07:28.000Z,52.341385,4.900169,360,0
123314.477_485086.931-Rest,2020-03-16T06:07:30.000Z,52.35277,4.922137,540,3
121916.240_484085.133-Rest,2020-03-16T06:07:33.000Z,52.34369,4.901713,190,0
123863.365_486309.473-Rest,2020-03-16T06:07:41.000Z,52.363792,4.93008,225,1
121397.828_484173.619-Rest,2020-03-16T06:08:11.000Z,52.34445,4.894097,160,2
121472.048_485504.879-Rest,2020-03-16T06:08:28.000Z,52.35642,4.8950534,675,6
121397.828_484173.619-Rest,2020-03-16T06:09:37.000Z,52.34445,4.894097,340,0
121472.048_485504.879-Rest,2020-03-16T06:09:56.000Z,52.35642,4.8950534,705,0
121946.111_484011.224-Rest,2020-03-16T06:10:05.000Z,52.343025,4.9021587,285,6
124884.576_481775.744-Rest,2020-03-16T06:10:45.000Z,52.3231,4.9454775,230,6
121946.111_484011.224-Rest,2020-03-16T06:11:24.000Z,52.343025,4.9021587,95,0
117606.327_486226.601-Rest,2020-03-16T06:12:19.000Z,52.362656,4.838231,425,6
121747.514_483880.049-Rest,2020-03-16T06:13:02.000Z,52.341835,4.8992577,260,6
117606.327_486226.601-Rest,2020-03-16T06:13:20.000Z,52.362656,4.838231,145,0
121747.514_483880.049-Rest,2020-03-16T06:14:04.000Z,52.341835,4.8992577,230,0
122009.315_483941.235-Rest,2020-03-16T06:14:14.000Z,52.3424,4.903093,265,6
123623.874_486232.200-Rest,2020-03-16T06:14:23.000Z,52.363083,4.926571,265,1
124815.437_481820.213-Rest,2020-03-16T06:14:39.000Z,52.323498,4.9444594,215,6
120006.799_485399.027-Rest,2020-03-16T06:14:53.000Z,52.355377,4.873557,1290,3
122009.315_483941.235-Rest,2020-03-16T06:15:43.000Z,52.3424,4.903093,270,0
123623.874_486232.200-Rest,2020-03-16T06:15:44.000Z,52.363083,4.926571,240,0
117606.327_486226.601-Rest,2020-03-16T06:16:18.000Z,52.362656,4.838231,275,0
124745.626_481946.887-Rest,2020-03-16T06:16:54.000Z,52.324635,4.943424,210,6
117606.327_486226.601-Rest,2020-03-16T06:17:09.000Z,52.362656,4.838231,275,0
122906.093_485474.195-Rest,2020-03-16T06:17:12.000Z,52.35623,4.9161057,60,3
121768.450_484002.478-Rest,2020-03-16T06:17:17.000Z,52.342937,4.8995523,245,2
121702.162_485614.508-Rest,2020-03-16T06:17:48.000Z,52.357418,4.8984203,2100,6
117606.327_486226.601-Rest,2020-03-16T06:18:14.000Z,52.362656,4.838231,595,0
120006.799_485399.027-Rest,2020-03-16T06:18:15.000Z,52.355377,4.873557,455,0
122897.087_485539.803-Rest,2020-03-16T06:18:25.000Z,52.35682,4.9159675,65,6
121768.450_484002.478-Rest,2020-03-16T06:18:32.000Z,52.342937,4.8995523,305,0
122001.930_483871.243-Rest,2020-03-16T06:19:06.000Z,52.34177,4.9029913,135,6
124846.820_482065.428-Rest,2020-03-16T06:20:59.000Z,52.325703,4.944898,170,6
123222.313_485204.614-Rest,2020-03-16T06:21:01.000Z,52.353825,4.920773,260,1
123648.465_486510.013-Rest,2020-03-16T06:21:07.000Z,52.36558,4.926906,530,4
117668.504_486143.701-Rest,2020-03-16T06:21:38.000Z,52.361916,4.8391533,375,6
121995.528_483785.850-Rest,2020-03-16T06:22:21.000Z,52.341003,4.902906,0,6
117668.504_486143.701-Rest,2020-03-16T06:22:33.000Z,52.361916,4.8391533,205,0
122897.087_485539.803-Rest,2020-03-16T06:22:43.000Z,52.35682,4.9159675,400,0
121995.528_483785.850-Rest,2020-03-16T06:23:01.000Z,52.341003,4.902906,140,0
124752.685_482013.443-Rest,2020-03-16T06:23:35.000Z,52.325233,4.943522,175,6
121995.528_483785.850-Rest,2020-03-16T06:24:15.000Z,52.341003,4.902906,160,0
120188.430_485812.519-Rest,2020-03-16T06:25:20.000Z,52.359104,4.87618,645,13
123466.020_486382.334-Rest,2020-03-16T06:25:29.000Z,52.364426,4.9242396,325,2
121699.210_483884.597-Rest,2020-03-16T06:26:22.000Z,52.341873,4.898548,475,2
123588.940_486424.895-Rest,2020-03-16T06:26:33.000Z,52.364815,4.92604,255,4
117668.504_486143.701-Rest,2020-03-16T06:27:07.000Z,52.361916,4.8391533,270,0
124946.269_482120.006-Rest,2020-03-16T06:27:28.000Z,52.3262,4.946352,260,6
123588.940_486424.895-Rest,2020-03-16T06:28:03.000Z,52.364815,4.92604,295,0
117668.504_486143.701-Rest,2020-03-16T06:28:08.000Z,52.361916,4.8391533,280,0
122051.766_483777.491-Rest,2020-03-16T06:28:13.000Z,52.34093,4.903732,295,6
125067.119_482186.964-Rest,2020-03-16T06:29:59.000Z,52.32681,4.9481187,145,6
123085.669_485705.543-Rest,2020-03-16T06:30:12.000Z,52.35832,4.91872,220,4
120234.164_485918.710-Rest,2020-03-16T06:30:38.000Z,52.36006,4.8768406,345,20
123223.300_485343.011-Rest,2020-03-16T06:30:40.000Z,52.35507,4.9207745,370,4
122618.539_484936.972-Rest,2020-03-16T06:31:15.000Z,52.351383,4.9119368,315,6
