id,dateObserved,lat,long,weight,day_diff
124883.339_481327.054-Rest,2021-11-20T00:04:10.000Z,52.31907,4.9455,205,0
124710.178_481232.665-Rest,2021-11-20T00:16:07.000Z,52.31821,4.9429684,120,0
124614.479_481405.698-Rest,2021-11-20T00:18:58.000Z,52.319763,4.9415493,115,0
124693.739_481350.393-Rest,2021-11-20T00:21:29.000Z,52.31927,4.942717,150,0
124870.293_481448.255-Rest,2021-11-20T00:26:57.000Z,52.32016,4.9452977,215,0
124780.765_481398.317-Rest,2021-11-20T00:29:37.000Z,52.319706,4.943989,190,0
124792.878_481083.667-Rest,2021-11-20T00:36:03.000Z,52.31688,4.944195,95,0
125377.270_481059.600-Rest,2021-11-20T00:45:47.000Z,52.316692,4.9527674,235,0
123557.968_485708.847-Rest,2021-11-20T05:52:09.000Z,52.358376,4.9256525,250,1
124902.071_487499.512-Rest,2021-11-20T06:04:49.000Z,52.374546,4.9452224,135,1
122757.349_485608.714-Rest,2021-11-20T06:06:50.000Z,52.35743,4.91391,155,1
123615.611_485613.097-Rest,2021-11-20T06:07:00.000Z,52.35752,4.9265075,115,1
122757.349_485608.714-Rest,2021-11-20T06:07:45.000Z,52.35743,4.91391,10,0
123245.247_485426.466-Rest,2021-11-20T06:13:01.000Z,52.35582,4.9210887,5,4
123245.247_485426.466-Rest,2021-11-20T06:14:15.000Z,52.35582,4.9210887,75,0
123463.408_486115.252-Rest,2021-11-20T06:14:27.000Z,52.362022,4.9242263,300,1
118434.453_484911.836-Rest,2021-11-20T06:16:46.000Z,52.350895,4.850531,1000,4
122553.561_485630.575-Rest,2021-11-20T06:17:00.000Z,52.357616,4.9109163,695,1
123222.313_485204.614-Rest,2021-11-20T06:17:22.000Z,52.353825,4.920773,165,1
122553.561_485630.575-Rest,2021-11-20T06:17:48.000Z,52.357616,4.9109163,110,0
123661.685_486181.991-Rest,2021-11-20T06:18:16.000Z,52.362637,4.9271307,280,1
123330.181_485245.515-Rest,2021-11-20T06:20:18.000Z,52.3542,4.9223523,190,1
123711.576_486188.898-Rest,2021-11-20T06:21:33.000Z,52.3627,4.9278626,160,1
118637.534_484915.540-Rest,2021-11-20T06:22:02.000Z,52.350945,4.8535113,370,1
122354.199_485579.663-Rest,2021-11-20T06:22:08.000Z,52.357147,4.9079947,255,1
122354.199_485579.663-Rest,2021-11-20T06:23:19.000Z,52.357147,4.9079947,130,0
123346.291_485212.825-Rest,2021-11-20T06:24:14.000Z,52.353905,4.9225917,15,1
122309.939_484027.902-Rest,2021-11-20T06:25:40.000Z,52.343197,4.907496,315,2
121320.291_488887.602-Rest,2021-11-20T06:25:55.000Z,52.386814,4.892487,380,1
122241.515_485677.390-Rest,2021-11-20T06:26:42.000Z,52.358017,4.906331,240,1
122309.939_484027.902-Rest,2021-11-20T06:27:08.000Z,52.343197,4.907496,235,0
118789.189_485152.974-Rest,2021-11-20T06:27:30.000Z,52.35309,4.8557115,275,1
123220.803_485125.633-Rest,2021-11-20T06:27:35.000Z,52.353115,4.9207582,175,1
121352.737_488763.622-Rest,2021-11-20T06:28:28.000Z,52.3857,4.892976,245,1
122309.939_484027.902-Rest,2021-11-20T06:28:30.000Z,52.343197,4.907496,370,0
123164.612_485142.948-Rest,2021-11-20T06:30:34.000Z,52.353268,4.919932,280,1
118770.351_485266.936-Rest,2021-11-20T06:31:43.000Z,52.35411,4.855423,560,3
121461.046_488644.654-Rest,2021-11-20T06:32:33.000Z,52.384636,4.894579,865,1
121461.046_488644.654-Rest,2021-11-20T06:32:55.000Z,52.384636,4.894579,10,0
122423.460_485726.522-Rest,2021-11-20T06:33:59.000Z,52.35847,4.908997,130,4
123085.841_485064.260-Rest,2021-11-20T06:34:26.000Z,52.35256,4.918783,120,1
121346.867_488633.127-Rest,2021-11-20T06:35:00.000Z,52.384525,4.892903,230,4
123863.365_486309.473-Rest,2021-11-20T06:36:06.000Z,52.363792,4.93008,375,1
123051.270_485002.208-Rest,2021-11-20T06:37:42.000Z,52.351997,4.9182816,200,1
121338.420_488559.230-Rest,2021-11-20T06:38:00.000Z,52.38386,4.892786,145,4
122318.013_485470.151-Rest,2021-11-20T06:39:21.000Z,52.35616,4.9074745,175,1
123018.299_485117.970-Rest,2021-11-20T06:40:24.000Z,52.353035,4.9177866,135,1
122306.785_485395.464-Rest,2021-11-20T06:42:37.000Z,52.355488,4.9073167,370,1
123064.254_485217.254-Rest,2021-11-20T06:42:54.000Z,52.35393,4.918452,195,1
122343.394_484245.884-Rest,2021-11-20T06:42:56.000Z,52.345158,4.9079657,10,0
122306.785_485395.464-Rest,2021-11-20T06:43:56.000Z,52.355488,4.9073167,80,0
122343.394_484245.884-Rest,2021-11-20T06:43:59.000Z,52.345158,4.9079657,45,0
119268.362_485015.646-Rest,2021-11-20T06:45:21.000Z,52.351883,4.862759,825,5
123084.054_485300.201-Rest,2021-11-20T06:45:50.000Z,52.354675,4.9187346,195,1
121243.376_488578.462-Rest,2021-11-20T06:46:22.000Z,52.38403,4.8913884,650,1
123061.907_485345.344-Rest,2021-11-20T06:47:40.000Z,52.35508,4.918405,230,1
