id,dateObserved,lat,long,weight,day_diff
119781.937_487050.374-Rest,2021-06-03T02:08:55.000Z,52.370205,4.870084,455,4
119781.937_487050.374-Rest,2021-06-03T02:10:18.000Z,52.370205,4.870084,470,0
119715.610_487025.916-Rest,2021-06-03T02:15:25.000Z,52.36998,4.8691125,535,20
119847.154_486876.100-Rest,2021-06-03T02:19:51.000Z,52.36864,4.8710594,355,18
120000.384_486733.397-Rest,2021-06-03T02:25:39.000Z,52.36737,4.873324,580,11
120000.384_486733.397-Rest,2021-06-03T02:27:20.000Z,52.36737,4.873324,410,0
120055.460_486580.127-Rest,2021-06-03T02:34:22.000Z,52.365997,4.874149,705,20
120105.266_486781.687-Rest,2021-06-03T02:41:09.000Z,52.36781,4.874859,405,20
120105.266_486781.687-Rest,2021-06-03T02:42:49.000Z,52.36781,4.874859,360,0
120105.266_486781.687-Rest,2021-06-03T02:44:19.000Z,52.36781,4.874859,390,0
120230.085_486661.872-Rest,2021-06-03T02:56:09.000Z,52.36674,4.8767037,390,20
120094.338_486618.484-Rest,2021-06-03T03:06:40.000Z,52.366344,4.8747153,410,20
120042.656_486758.458-Rest,2021-06-03T03:20:25.000Z,52.367596,4.873942,375,20
119904.691_486783.076-Rest,2021-06-03T03:28:55.000Z,52.36781,4.871914,215,21
119815.041_487027.593-Rest,2021-06-03T03:33:04.000Z,52.370003,4.870572,375,21
119815.041_487027.593-Rest,2021-06-03T03:35:34.000Z,52.370003,4.870572,480,0
124589.884_485235.611-Rest,2021-06-03T04:34:17.000Z,52.354183,4.9408426,100,1
124395.149_485048.589-Rest,2021-06-03T04:36:45.000Z,52.35249,4.9380016,120,1
124260.177_484921.581-Rest,2021-06-03T04:38:56.000Z,52.35134,4.9360323,245,1
124015.061_485111.633-Rest,2021-06-03T04:44:46.000Z,52.353035,4.9324174,595,2
124393.097_486173.838-Rest,2021-06-03T04:47:28.000Z,52.362602,4.937869,305,4
124687.198_486786.798-Rest,2021-06-03T04:48:58.000Z,52.36813,4.9421315,370,10
121770.380_485528.472-Rest,2021-06-03T04:49:29.000Z,52.35665,4.8994303,615,2
124687.198_486786.798-Rest,2021-06-03T04:49:47.000Z,52.36813,4.9421315,390,0
124358.923_486120.400-Rest,2021-06-03T04:51:39.000Z,52.36212,4.937372,365,2
121640.741_485459.576-Rest,2021-06-03T04:53:24.000Z,52.35602,4.8975344,1400,6
124718.030_486562.864-Rest,2021-06-03T04:55:15.000Z,52.366116,4.942604,210,2
121640.741_485459.576-Rest,2021-06-03T04:56:06.000Z,52.35602,4.8975344,795,0
118907.253_484885.457-Rest,2021-06-03T04:56:16.000Z,52.35069,4.857473,490,6
119411.360_484355.580-Rest,2021-06-03T04:56:17.000Z,52.345963,4.864928,380,4
123748.133_485609.300-Rest,2021-06-03T04:57:29.000Z,52.357494,4.928453,370,5
120832.288_489166.739-Rest,2021-06-03T04:57:40.000Z,52.38929,4.8852906,280,14
119411.360_484355.580-Rest,2021-06-03T04:57:53.000Z,52.345963,4.864928,465,0
118907.253_484885.457-Rest,2021-06-03T04:58:14.000Z,52.35069,4.857473,555,0
124681.856_486495.518-Rest,2021-06-03T04:58:26.000Z,52.36551,4.942079,170,9
123748.133_485609.300-Rest,2021-06-03T04:58:42.000Z,52.357494,4.928453,315,0
124681.856_486495.518-Rest,2021-06-03T04:59:16.000Z,52.36551,4.942079,490,0
120882.907_489095.481-Rest,2021-06-03T05:00:43.000Z,52.388653,4.8860416,165,14
124148.777_486033.696-Rest,2021-06-03T05:01:00.000Z,52.36133,4.934295,460,22
123947.851_485788.693-Rest,2021-06-03T05:02:41.000Z,52.359116,4.9313684,485,8
124584.835_486442.406-Rest,2021-06-03T05:02:51.000Z,52.36503,4.9406595,320,2
119805.984_484197.779-Rest,2021-06-03T05:03:23.000Z,52.34457,4.870735,595,6
124584.835_486442.406-Rest,2021-06-03T05:03:39.000Z,52.36503,4.9406595,270,0
120948.792_489117.035-Rest,2021-06-03T05:03:41.000Z,52.38885,4.887007,260,14
120446.433_485850.884-Rest,2021-06-03T05:04:04.000Z,52.359467,4.8799634,75,7
118244.089_484816.110-Rest,2021-06-03T05:04:30.000Z,52.350025,4.847748,1120,6
119346.717_485031.499-Rest,2021-06-03T05:04:35.000Z,52.35203,4.8639073,330,9
124079.021_486110.123-Rest,2021-06-03T05:04:55.000Z,52.36201,4.9332643,285,2
121370.431_485354.645-Rest,2021-06-03T05:05:26.000Z,52.355064,4.893577,900,6
122851.555_485448.944-Rest,2021-06-03T05:05:56.000Z,52.356,4.915308,585,7
123696.530_485411.481-Rest,2021-06-03T05:06:05.000Z,52.355713,4.927714,390,5
120967.233_489184.025-Rest,2021-06-03T05:06:31.000Z,52.389454,4.887271,240,14
121370.431_485354.645-Rest,2021-06-03T05:06:43.000Z,52.355064,4.893577,1155,0
124042.889_485759.755-Rest,2021-06-03T05:07:32.000Z,52.35886,4.932766,345,9
123696.530_485411.481-Rest,2021-06-03T05:07:37.000Z,52.355713,4.927714,415,0
124749.487_486376.553-Rest,2021-06-03T05:08:26.000Z,52.364445,4.943083,550,16
124268.444_486232.299-Rest,2021-06-03T05:09:11.000Z,52.36312,4.9360337,415,2
124749.487_486376.553-Rest,2021-06-03T05:09:15.000Z,52.364445,4.943083,265,0
121071.305_489195.357-Rest,2021-06-03T05:09:21.000Z,52.389565,4.8887987,290,65
123828.780_485123.239-Rest,2021-06-03T05:09:24.000Z,52.35313,4.929682,155,2
124749.487_486376.553-Rest,2021-06-03T05:10:09.000Z,52.364445,4.943083,500,0
124092.941_485740.233-Rest,2021-06-03T05:10:20.000Z,52.35869,4.9335027,300,6
124268.444_486232.299-Rest,2021-06-03T05:10:38.000Z,52.36312,4.9360337,435,0
121210.821_485309.618-Rest,2021-06-03T05:11:01.000Z,52.35465,4.8912387,770,6
121210.821_485309.618-Rest,2021-06-03T05:12:10.000Z,52.35465,4.8912387,475,0
119168.605_484545.593-Rest,2021-06-03T05:12:28.000Z,52.347652,4.861345,745,11
123531.208_485944.370-Rest,2021-06-03T05:12:32.000Z,52.360493,4.9252377,0,2
123531.208_485944.370-Rest,2021-06-03T05:12:37.000Z,52.360493,4.9252377,0,0
122354.199_485579.663-Rest,2021-06-03T05:12:47.000Z,52.357147,4.9079947,400,2
121060.990_489141.631-Rest,2021-06-03T05:13:16.000Z,52.38908,4.888653,240,13
119960.306_484408.739-Rest,2021-06-03T05:13:19.000Z,52.346474,4.8729777,605,4
122354.199_485579.663-Rest,2021-06-03T05:13:37.000Z,52.357147,4.9079947,170,0
124660.464_486272.258-Rest,2021-06-03T05:13:52.000Z,52.363503,4.9417853,545,2
119960.306_484408.739-Rest,2021-06-03T05:14:54.000Z,52.346474,4.8729777,480,0
123720.083_485146.355-Rest,2021-06-03T05:15:26.000Z,52.353333,4.9280844,560,5
118123.169_484776.176-Rest,2021-06-03T05:16:30.000Z,52.349655,4.8459773,1215,6
121170.550_489108.609-Rest,2021-06-03T05:16:44.000Z,52.38879,4.8902655,190,14
123720.083_485146.355-Rest,2021-06-03T05:16:57.000Z,52.353333,4.9280844,400,0
