id,dateObserved,lat,long,weight,day_diff
120250.446_484857.004-Rest,2020-01-10T05:45:59.000Z,52.35052,4.877189,55,6
121152.497_485243.531-Rest,2020-01-10T05:55:59.000Z,52.354053,4.8903894,40,1
121337.801_485457.946-Rest,2020-01-10T06:02:35.000Z,52.35599,4.893088,15,6
123715.219_489038.774-Rest,2020-01-10T06:08:43.000Z,52.388313,4.927651,2725,9
124476.534_485451.550-Rest,2020-01-10T06:10:56.000Z,52.356117,4.9391594,320,3
124498.269_485112.253-Rest,2020-01-10T06:11:23.000Z,52.35307,4.9395094,200,6
122403.668_489242.531-Rest,2020-01-10T06:13:02.000Z,52.390068,4.9083657,2730,7
124577.351_485422.341-Rest,2020-01-10T06:14:42.000Z,52.355858,4.940642,205,6
124575.526_485030.977-Rest,2020-01-10T06:15:13.000Z,52.35234,4.9406505,270,6
122813.274_489983.437-Rest,2020-01-10T06:16:13.000Z,52.39675,4.9143114,2480,9
122842.050_484379.065-Rest,2020-01-10T06:16:14.000Z,52.346382,4.9152703,265,2
121300.914_484211.070-Rest,2020-01-10T06:18:25.000Z,52.34478,4.892671,135,9
121869.136_483853.890-Rest,2020-01-10T06:18:43.000Z,52.341606,4.901045,190,3
122891.755_484487.195-Rest,2020-01-10T06:18:49.000Z,52.34736,4.91599,160,2
124720.037_484917.190-Rest,2020-01-10T06:19:32.000Z,52.351326,4.942782,355,6
122147.240_490190.052-Rest,2020-01-10T06:19:45.000Z,52.398567,4.904506,295,9
121383.010_484229.020-Rest,2020-01-10T06:21:31.000Z,52.344948,4.893874,170,9
124531.080_485275.255-Rest,2020-01-10T06:21:48.000Z,52.354534,4.939976,155,2
124600.345_486913.312-Rest,2020-01-10T06:21:50.000Z,52.36926,4.9408445,195,2
118179.133_485124.455-Rest,2020-01-10T06:22:11.000Z,52.35279,4.8467607,800,9
121579.022_484240.291-Rest,2020-01-10T06:22:45.000Z,52.345062,4.8967495,200,3
124600.345_486913.312-Rest,2020-01-10T06:22:52.000Z,52.36926,4.9408445,175,0
122932.353_490199.517-Rest,2020-01-10T06:24:18.000Z,52.3987,4.9160404,2150,2
122932.353_490199.517-Rest,2020-01-10T06:24:21.000Z,52.3987,4.9160404,2155,0
121309.214_484298.898-Rest,2020-01-10T06:24:33.000Z,52.345573,4.892784,85,9
121579.022_484240.291-Rest,2020-01-10T06:24:40.000Z,52.345062,4.8967495,290,0
122607.553_489091.866-Rest,2020-01-10T06:24:47.000Z,52.388725,4.911375,2230,9
118308.370_485124.149-Rest,2020-01-10T06:25:37.000Z,52.352795,4.8486576,1120,6
123459.332_484212.395-Rest,2020-01-10T06:27:01.000Z,52.34492,4.924345,155,3
124774.793_484863.442-Rest,2020-01-10T06:27:56.000Z,52.350845,4.94359,210,6
121262.901_484854.723-Rest,2020-01-10T06:28:15.000Z,52.350563,4.892049,5,3
121715.385_484277.946-Rest,2020-01-10T06:28:59.000Z,52.34541,4.8987465,315,3
121262.901_484854.723-Rest,2020-01-10T06:29:09.000Z,52.350563,4.892049,45,0
124362.999_485212.800-Rest,2020-01-10T06:29:19.000Z,52.353966,4.937515,155,2
123159.892_484196.056-Rest,2020-01-10T06:30:14.000Z,52.344757,4.9199524,290,3
121715.385_484277.946-Rest,2020-01-10T06:31:01.000Z,52.34541,4.8987465,285,0
123027.778_490320.843-Rest,2020-01-10T06:31:11.000Z,52.399796,4.917431,45,9
118256.552_485233.542-Rest,2020-01-10T06:31:27.000Z,52.353775,4.847885,610,9
121809.304_483829.568-Rest,2020-01-10T06:31:57.000Z,52.341385,4.900169,275,3
122556.934_488973.442-Rest,2020-01-10T06:32:09.000Z,52.387657,4.910643,2400,9
121453.756_484342.354-Rest,2020-01-10T06:32:43.000Z,52.34597,4.894901,115,6
124797.755_484835.752-Rest,2020-01-10T06:32:55.000Z,52.3506,4.9439297,260,6
121809.304_483829.568-Rest,2020-01-10T06:33:05.000Z,52.341385,4.900169,210,0
121319.025_485527.155-Rest,2020-01-10T06:33:07.000Z,52.35661,4.892805,565,7
117634.460_486981.006-Rest,2020-01-10T06:33:19.000Z,52.36944,4.83856,420,3
124241.777_485326.978-Rest,2020-01-10T06:33:20.000Z,52.354984,4.935725,280,2
123310.771_484159.332-Rest,2020-01-10T06:33:31.000Z,52.344437,4.9221697,150,3
121453.756_484342.354-Rest,2020-01-10T06:33:40.000Z,52.34597,4.894901,195,0
117634.460_486981.006-Rest,2020-01-10T06:34:25.000Z,52.36944,4.83856,170,0
124241.777_485326.978-Rest,2020-01-10T06:34:34.000Z,52.354984,4.935725,60,0
117634.460_486981.006-Rest,2020-01-10T06:35:30.000Z,52.36944,4.83856,15,0
118199.255_485287.493-Rest,2020-01-10T06:35:33.000Z,52.354256,4.8470383,1155,6
123335.692_484082.114-Rest,2020-01-10T06:35:45.000Z,52.343742,4.9225426,170,3
121337.801_485457.946-Rest,2020-01-10T06:36:36.000Z,52.35599,4.893088,750,0
124797.323_484811.515-Rest,2020-01-10T06:36:36.000Z,52.35038,4.943926,180,6
122788.224_490395.689-Rest,2020-01-10T06:37:03.000Z,52.400455,4.913904,2515,9
121268.876_484383.295-Rest,2020-01-10T06:37:39.000Z,52.34633,4.892184,130,6
124147.196_485434.314-Rest,2020-01-10T06:38:00.000Z,52.35594,4.934327,95,2
123409.293_484004.758-Rest,2020-01-10T06:38:14.000Z,52.343052,4.92363,180,3
121268.876_484383.295-Rest,2020-01-10T06:38:45.000Z,52.34633,4.892184,60,0
