id,dateObserved,lat,long,weight,day_diff
124589.884_485235.611-Rest,2021-09-23T04:20:49.000Z,52.354183,4.9408426,85,1
124395.149_485048.589-Rest,2021-09-23T04:32:04.000Z,52.35249,4.9380016,100,1
124260.177_484921.581-Rest,2021-09-23T04:34:26.000Z,52.35134,4.9360323,185,1
123717.862_485872.802-Rest,2021-09-23T04:37:31.000Z,52.35986,4.927984,1050,8
123717.862_485872.802-Rest,2021-09-23T04:39:27.000Z,52.35986,4.927984,850,0
124600.345_486913.312-Rest,2021-09-23T04:39:55.000Z,52.36926,4.9408445,380,6
124015.061_485111.633-Rest,2021-09-23T04:40:01.000Z,52.353035,4.9324174,455,2
124600.345_486913.312-Rest,2021-09-23T04:41:18.000Z,52.36926,4.9408445,350,0
124600.188_485791.735-Rest,2021-09-23T04:41:36.000Z,52.35918,4.9409437,360,1
124600.188_485791.735-Rest,2021-09-23T04:43:19.000Z,52.35918,4.9409437,180,0
123745.598_486086.949-Rest,2021-09-23T04:44:24.000Z,52.361786,4.9283714,765,4
120832.288_489166.739-Rest,2021-09-23T04:46:57.000Z,52.38929,4.8852906,15,1
123640.357_486104.695-Rest,2021-09-23T04:47:16.000Z,52.36194,4.926825,385,1
124787.782_485833.503-Rest,2021-09-23T04:47:54.000Z,52.359566,4.9436936,0,6
124787.782_485833.503-Rest,2021-09-23T04:49:06.000Z,52.359566,4.9436936,440,0
124846.077_486469.485-Rest,2021-09-23T04:49:09.000Z,52.365284,4.9444923,135,1
124147.196_485434.314-Rest,2021-09-23T04:50:41.000Z,52.35594,4.934327,465,5
120882.907_489095.481-Rest,2021-09-23T04:51:04.000Z,52.388653,4.8860416,190,1
121770.380_485528.472-Rest,2021-09-23T04:51:12.000Z,52.35665,4.8994303,595,2
124147.196_485434.314-Rest,2021-09-23T04:51:50.000Z,52.35594,4.934327,15,0
118752.859_485530.005-Rest,2021-09-23T04:52:33.000Z,52.356472,4.855138,100,7
120948.792_489117.035-Rest,2021-09-23T04:53:41.000Z,52.38885,4.887007,255,1
124975.689_486464.619-Rest,2021-09-23T04:54:06.000Z,52.36525,4.946396,215,2
124975.689_486464.619-Rest,2021-09-23T04:55:13.000Z,52.36525,4.946396,155,0
121640.741_485459.576-Rest,2021-09-23T04:55:31.000Z,52.35602,4.8975344,865,6
120967.233_489184.025-Rest,2021-09-23T04:56:09.000Z,52.389454,4.887271,185,1
124660.464_486272.258-Rest,2021-09-23T04:56:29.000Z,52.363503,4.9417853,85,0
120023.930_486780.020-Rest,2021-09-23T04:57:20.000Z,52.36779,4.873665,65,11
121640.741_485459.576-Rest,2021-09-23T04:57:33.000Z,52.35602,4.8975344,1300,0
124241.777_485326.978-Rest,2021-09-23T04:57:59.000Z,52.354984,4.935725,265,6
119055.099_485763.984-Rest,2021-09-23T04:58:08.000Z,52.358597,4.859549,65,7
120023.930_486780.020-Rest,2021-09-23T04:58:59.000Z,52.36779,4.873665,110,0
122906.093_485474.195-Rest,2021-09-23T04:59:06.000Z,52.35623,4.9161057,550,4
124241.777_485326.978-Rest,2021-09-23T04:59:17.000Z,52.354984,4.935725,335,0
122636.983_484200.791-Rest,2021-09-23T04:59:34.000Z,52.34477,4.912278,260,1
124307.118_486297.137-Rest,2021-09-23T05:00:09.000Z,52.363705,4.9365954,205,5
124307.118_486297.137-Rest,2021-09-23T05:01:03.000Z,52.363705,4.9365954,185,0
121060.990_489141.631-Rest,2021-09-23T05:02:00.000Z,52.38908,4.888653,245,1
119992.818_486862.424-Rest,2021-09-23T05:02:13.000Z,52.36853,4.8731995,10,15
123216.296_485613.027-Rest,2021-09-23T05:02:41.000Z,52.357494,4.920646,450,8
122637.212_484096.782-Rest,2021-09-23T05:03:30.000Z,52.343834,4.9122915,410,1
124203.587_486305.948-Rest,2021-09-23T05:03:54.000Z,52.36378,4.935075,320,2
123216.296_485613.027-Rest,2021-09-23T05:04:00.000Z,52.357494,4.920646,365,0
121170.550_489108.609-Rest,2021-09-23T05:05:03.000Z,52.38879,4.8902655,240,1
124203.587_486305.948-Rest,2021-09-23T05:05:13.000Z,52.36378,4.935075,635,0
120875.259_481849.531-Rest,2021-09-23T05:05:34.000Z,52.323532,4.886664,385,9
124193.598_485158.485-Rest,2021-09-23T05:06:36.000Z,52.353466,4.9350333,355,2
121039.934_489075.486-Rest,2021-09-23T05:07:43.000Z,52.388485,4.88835,155,1
121210.821_485309.618-Rest,2021-09-23T05:08:49.000Z,52.35465,4.8912387,560,6
120893.231_482973.819-Rest,2021-09-23T05:09:10.000Z,52.333637,4.886814,165,4
122668.706_483287.664-Rest,2021-09-23T05:09:34.000Z,52.336567,4.9128313,400,9
119391.043_486184.587-Rest,2021-09-23T05:10:06.000Z,52.362396,4.8644357,50,15
124018.699_486210.337-Rest,2021-09-23T05:10:07.000Z,52.36291,4.932369,245,4
120893.231_482973.819-Rest,2021-09-23T05:10:46.000Z,52.333637,4.886814,270,0
122668.706_483287.664-Rest,2021-09-23T05:10:57.000Z,52.336567,4.9128313,440,0
121210.821_485309.618-Rest,2021-09-23T05:11:03.000Z,52.35465,4.8912387,795,0
120121.242_486955.860-Rest,2021-09-23T05:12:16.000Z,52.369377,4.8750753,45,46
122668.706_483287.664-Rest,2021-09-23T05:12:57.000Z,52.336567,4.9128313,465,0
124393.097_486173.838-Rest,2021-09-23T05:14:15.000Z,52.362602,4.937869,210,1
120134.899_486923.228-Rest,2021-09-23T05:14:54.000Z,52.369083,4.8752794,10,21
119582.467_486073.659-Rest,2021-09-23T05:16:24.000Z,52.361412,4.8672576,135,54
121160.511_489514.528-Rest,2021-09-23T05:16:28.000Z,52.392437,4.890077,65,1
122563.628_484371.081-Rest,2021-09-23T05:17:05.000Z,52.346294,4.9111853,235,1
123826.535_486721.592-Rest,2021-09-23T05:17:14.000Z,52.367493,4.929501,395,5
121160.511_489514.528-Rest,2021-09-23T05:17:40.000Z,52.392437,4.890077,145,0
120829.666_482657.773-Rest,2021-09-23T05:17:56.000Z,52.33079,4.8859134,170,2
120147.408_486900.775-Rest,2021-09-23T05:18:28.000Z,52.36888,4.8754654,60,15
121370.656_485220.029-Rest,2021-09-23T05:18:45.000Z,52.353855,4.893594,1085,6
123826.535_486721.592-Rest,2021-09-23T05:19:15.000Z,52.367493,4.929501,320,0
124358.923_486120.400-Rest,2021-09-23T05:20:02.000Z,52.36212,4.937372,290,2
119561.430_486250.849-Rest,2021-09-23T05:20:07.000Z,52.363003,4.86693,125,13
121210.062_484083.905-Rest,2021-09-23T05:20:41.000Z,52.34363,4.8913507,215,5
122318.013_485470.151-Rest,2021-09-23T05:20:44.000Z,52.35616,4.9074745,360,5
121196.379_489377.325-Rest,2021-09-23T05:21:02.000Z,52.391205,4.890618,105,6
118259.991_484666.549-Rest,2021-09-23T05:21:29.000Z,52.348682,4.8479977,335,1
121196.379_489377.325-Rest,2021-09-23T05:22:05.000Z,52.391205,4.890618,105,0
124447.833_484884.823-Rest,2021-09-23T05:22:26.000Z,52.35102,4.93879,185,2
121212.789_485185.192-Rest,2021-09-23T05:22:40.000Z,52.35353,4.89128,575,6
121196.379_489377.325-Rest,2021-09-23T05:23:11.000Z,52.391205,4.890618,225,0
121212.789_485185.192-Rest,2021-09-23T05:23:58.000Z,52.35353,4.89128,760,0
124263.277_486113.956-Rest,2021-09-23T05:24:13.000Z,52.362057,4.935969,255,4
122436.888_484562.642-Rest,2021-09-23T05:25:09.000Z,52.34801,4.909307,75,5
124263.277_486113.956-Rest,2021-09-23T05:25:29.000Z,52.362057,4.935969,460,0
124425.617_484799.828-Rest,2021-09-23T05:26:17.000Z,52.350254,4.9384713,180,0
123383.415_487223.017-Rest,2021-09-23T05:27:08.000Z,52.371975,4.922948,470,16
124193.079_486087.785-Rest,2021-09-23T05:28:11.000Z,52.361816,4.934941,305,7
123383.415_487223.017-Rest,2021-09-23T05:28:21.000Z,52.371975,4.922948,375,0
119025.572_486949.319-Rest,2021-09-23T05:29:12.000Z,52.369247,4.858989,895,55
124193.079_486087.785-Rest,2021-09-23T05:29:12.000Z,52.361816,4.934941,295,0
122658.921_484780.867-Rest,2021-09-23T05:29:31.000Z,52.349983,4.9125447,200,2
122719.209_485836.181-Rest,2021-09-23T05:29:49.000Z,52.359474,4.913328,120,1
121397.828_484173.619-Rest,2021-09-23T05:30:12.000Z,52.34445,4.894097,240,4
122768.337_484843.979-Rest,2021-09-23T05:30:32.000Z,52.35056,4.9141445,220,0
123485.911_487326.310-Rest,2021-09-23T05:31:02.000Z,52.37291,4.9244432,175,10
121397.828_484173.619-Rest,2021-09-23T05:31:41.000Z,52.34445,4.894097,255,0
124138.522_486047.335-Rest,2021-09-23T05:32:00.000Z,52.36145,4.9341435,300,2
120708.730_489264.892-Rest,2021-09-23T05:32:17.000Z,52.390167,4.883466,350,1
122804.596_485887.913-Rest,2021-09-23T05:32:39.000Z,52.359943,4.9145765,260,6
123544.630_487382.419-Rest,2021-09-23T05:33:07.000Z,52.373417,4.9253,240,10
124720.618_484761.065-Rest,2021-09-23T05:33:09.000Z,52.349922,4.9428043,340,6
121397.828_484173.619-Rest,2021-09-23T05:33:17.000Z,52.34445,4.894097,320,0
124024.315_486804.237-Rest,2021-09-23T05:33:21.000Z,52.368248,4.932397,380,5
124720.618_484761.065-Rest,2021-09-23T05:34:32.000Z,52.349922,4.9428043,235,0
120583.195_489288.099-Rest,2021-09-23T05:34:40.000Z,52.390366,4.881619,200,1
