id,lat,long,truck_num,date,weight
123733.215_485442.075-Rest,52.355988,4.92825,truck0,2021-12-30T04:42:53.000Z,315
123733.215_485442.075-Rest,52.355988,4.92825,truck0,2021-12-30T04:44:31.000Z,25
123632.700_485919.935-Rest,52.36028,4.9267297,truck0,2021-12-30T04:49:31.000Z,5
123733.719_485960.730-Rest,52.36065,4.928209,truck0,2021-12-30T04:52:41.000Z,225
123880.413_486004.585-Rest,52.361053,4.9303584,truck0,2021-12-30T04:55:48.000Z,5
123696.634_485962.481-Rest,52.360664,4.9276643,truck0,2021-12-30T05:02:12.000Z,0
123696.634_485962.481-Rest,52.360664,4.9276643,truck0,2021-12-30T05:03:47.000Z,255
123607.232_485853.758-Rest,52.35968,4.926362,truck0,2021-12-30T05:06:43.000Z,155
123849.400_486024.221-Rest,52.36123,4.929901,truck0,2021-12-30T05:11:06.000Z,125
123696.634_485962.481-Rest,52.360664,4.9276643,truck0,2021-12-30T05:13:52.000Z,0
123632.700_485919.935-Rest,52.36028,4.9267297,truck0,2021-12-30T05:16:40.000Z,170
123531.208_485944.370-Rest,52.360493,4.9252377,truck0,2021-12-30T05:21:34.000Z,350
123585.750_486004.010-Rest,52.36103,4.9260325,truck0,2021-12-30T05:24:36.000Z,5
123697.383_486068.628-Rest,52.361618,4.927665,truck0,2021-12-30T05:29:47.000Z,325
123745.598_486086.949-Rest,52.361786,4.9283714,truck0,2021-12-30T05:32:49.000Z,5
123886.445_486139.049-Rest,52.362263,4.930434,truck0,2021-12-30T05:36:15.000Z,200
123876.654_486088.527-Rest,52.36181,4.9302955,truck0,2021-12-30T05:39:46.000Z,360
123777.513_486048.637-Rest,52.361443,4.9288435,truck0,2021-12-30T05:42:44.000Z,395
123715.901_486024.816-Rest,52.361225,4.9279413,truck0,2021-12-30T05:46:15.000Z,340
123229.387_485763.274-Rest,52.35885,4.920824,truck0,2021-12-30T05:51:04.000Z,155
123325.935_485668.562-Rest,52.358,4.9222503,truck0,2021-12-30T05:56:23.000Z,170
123386.405_485690.113-Rest,52.3582,4.9231358,truck0,2021-12-30T05:59:32.000Z,115
123223.300_485343.011-Rest,52.35507,4.9207745,truck0,2021-12-30T06:02:37.000Z,210
123538.570_485752.437-Rest,52.35877,4.9253635,truck0,2021-12-30T06:06:22.000Z,220
123367.029_485349.869-Rest,52.35514,4.9228835,truck0,2021-12-30T06:09:59.000Z,675
123006.957_485387.761-Rest,52.355457,4.917595,truck0,2021-12-30T06:14:59.000Z,180
123075.477_485419.208-Rest,52.355747,4.918597,truck0,2021-12-30T06:17:31.000Z,465
122420.751_485256.463-Rest,52.354244,4.909003,truck0,2021-12-30T06:21:34.000Z,105
122420.751_485256.463-Rest,52.354244,4.909003,truck0,2021-12-30T06:22:23.000Z,85
122451.309_485208.215-Rest,52.353813,4.9094563,truck0,2021-12-30T06:25:32.000Z,265
122501.171_485103.049-Rest,52.35287,4.910198,truck0,2021-12-30T06:29:05.000Z,395
123214.240_485553.256-Rest,52.35696,4.9206214,truck0,2021-12-30T06:34:27.000Z,140
123141.126_485520.406-Rest,52.35666,4.9195514,truck0,2021-12-30T06:37:52.000Z,305
123141.126_485520.406-Rest,52.35666,4.9195514,truck0,2021-12-30T06:39:07.000Z,250
123061.327_485483.472-Rest,52.356323,4.9183836,truck0,2021-12-30T06:42:47.000Z,190
123061.327_485483.472-Rest,52.356323,4.9183836,truck0,2021-12-30T06:43:48.000Z,250
122971.363_485442.486-Rest,52.35595,4.917067,truck0,2021-12-30T06:48:56.000Z,240
122971.363_485442.486-Rest,52.35595,4.917067,truck0,2021-12-30T06:50:44.000Z,840
122895.293_485408.000-Rest,52.355633,4.9159536,truck0,2021-12-30T06:53:48.000Z,135
122895.293_485408.000-Rest,52.355633,4.9159536,truck0,2021-12-30T06:54:58.000Z,130
122780.758_485348.468-Rest,52.35509,4.9142785,truck0,2021-12-30T06:58:45.000Z,190
122780.758_485348.468-Rest,52.35509,4.9142785,truck0,2021-12-30T06:59:51.000Z,200
122720.406_485389.170-Rest,52.355453,4.9133887,truck0,2021-12-30T07:03:50.000Z,50
122720.406_485389.170-Rest,52.355453,4.9133887,truck0,2021-12-30T07:04:50.000Z,25
122785.955_485419.292-Rest,52.35573,4.9143476,truck0,2021-12-30T07:07:50.000Z,300
122785.955_485419.292-Rest,52.35573,4.9143476,truck0,2021-12-30T07:08:51.000Z,240
122906.093_485474.195-Rest,52.35623,4.9161057,truck0,2021-12-30T07:12:48.000Z,395
123031.870_485532.118-Rest,52.35676,4.917947,truck0,2021-12-30T07:17:55.000Z,130
123031.870_485532.118-Rest,52.35676,4.917947,truck0,2021-12-30T07:19:17.000Z,370
123133.374_485577.603-Rest,52.357174,4.919432,truck0,2021-12-30T07:23:09.000Z,365
123216.296_485613.027-Rest,52.357494,4.920646,truck0,2021-12-30T07:26:26.000Z,175
123216.296_485613.027-Rest,52.357494,4.920646,truck0,2021-12-30T07:27:28.000Z,200
123679.974_486323.059-Rest,52.363903,4.9273863,truck0,2021-12-30T07:36:08.000Z,420
123808.691_486370.835-Rest,52.36434,4.9292717,truck0,2021-12-30T07:39:56.000Z,330
123739.295_486147.002-Rest,52.362324,4.9282737,truck0,2021-12-30T07:45:19.000Z,360
123867.046_486192.403-Rest,52.36274,4.930145,truck0,2021-12-30T07:48:31.000Z,300
123856.205_486238.158-Rest,52.36315,4.929981,truck0,2021-12-30T07:52:00.000Z,150
123856.205_486238.158-Rest,52.36315,4.929981,truck0,2021-12-30T07:54:11.000Z,375
123711.576_486188.898-Rest,52.3627,4.9278626,truck0,2021-12-30T07:59:26.000Z,220
123661.685_486181.991-Rest,52.362637,4.9271307,truck0,2021-12-30T08:02:17.000Z,385
123551.450_486144.695-Rest,52.362293,4.925516,truck0,2021-12-30T08:06:01.000Z,435
123463.408_486115.252-Rest,52.362022,4.9242263,truck0,2021-12-30T08:08:46.000Z,490
123679.591_486252.688-Rest,52.36327,4.927387,truck0,2021-12-30T08:13:00.000Z,510
123732.363_486409.531-Rest,52.364685,4.9281473,truck0,2021-12-30T08:19:50.000Z,275
123632.382_486388.313-Rest,52.364487,4.9266815,truck0,2021-12-30T08:22:43.000Z,290
123587.280_486357.960-Rest,52.364212,4.926022,truck0,2021-12-30T08:25:50.000Z,360
123441.596_486309.341-Rest,52.363766,4.9238877,truck0,2021-12-30T08:29:09.000Z,440
122535.705_485828.928-Rest,52.359398,4.910635,truck0,2021-12-30T08:36:42.000Z,185
122535.705_485828.928-Rest,52.359398,4.910635,truck0,2021-12-30T08:37:46.000Z,285
122609.632_485792.362-Rest,52.359074,4.9117236,truck0,2021-12-30T08:41:50.000Z,155
122609.632_485792.362-Rest,52.359074,4.9117236,truck0,2021-12-30T08:43:08.000Z,710
122719.209_485836.181-Rest,52.359474,4.913328,truck0,2021-12-30T08:46:24.000Z,245
122804.596_485887.913-Rest,52.359943,4.9145765,truck0,2021-12-30T08:49:44.000Z,90
122882.124_485905.601-Rest,52.360107,4.915713,truck0,2021-12-30T08:52:47.000Z,230
122864.890_485969.870-Rest,52.360683,4.915454,truck0,2021-12-30T08:56:20.000Z,275
122864.890_485969.870-Rest,52.360683,4.915454,truck0,2021-12-30T08:58:06.000Z,140
122777.490_485950.781-Rest,52.360504,4.9141726,truck0,2021-12-30T09:01:42.000Z,370
122699.849_485927.563-Rest,52.360294,4.913035,truck0,2021-12-30T09:05:05.000Z,215
122699.849_485927.563-Rest,52.360294,4.913035,truck0,2021-12-30T09:06:31.000Z,70
122867.404_485824.579-Rest,52.359375,4.9155045,truck0,2021-12-30T09:10:50.000Z,135
122808.874_485804.387-Rest,52.35919,4.914647,truck0,2021-12-30T09:14:30.000Z,365
122752.058_485787.982-Rest,52.35904,4.913815,truck0,2021-12-30T09:18:10.000Z,70
122752.058_485787.982-Rest,52.35904,4.913815,truck0,2021-12-30T09:19:07.000Z,125
123135.089_485650.555-Rest,52.35783,4.9194508,truck0,2021-12-30T09:21:55.000Z,225
123135.089_485650.555-Rest,52.35783,4.9194508,truck0,2021-12-30T09:22:10.000Z,15
123056.817_485617.456-Rest,52.357525,4.918305,truck0,2021-12-30T09:24:32.000Z,40
123056.817_485617.456-Rest,52.357525,4.918305,truck0,2021-12-30T09:24:45.000Z,5
122582.400_485723.957-Rest,52.358456,4.9113307,truck0,2021-12-30T09:29:23.000Z,110
122582.400_485723.957-Rest,52.358456,4.9113307,truck0,2021-12-30T09:30:42.000Z,195
122540.667_485708.716-Rest,52.358315,4.9107194,truck0,2021-12-30T09:33:06.000Z,180
122503.564_485664.365-Rest,52.357914,4.910179,truck0,2021-12-30T09:37:37.000Z,165
122782.910_485502.739-Rest,52.35648,4.914295,truck0,2021-12-30T09:39:59.000Z,330
122782.910_485502.739-Rest,52.35648,4.914295,truck0,2021-12-30T09:40:19.000Z,5
122553.561_485630.575-Rest,52.357616,4.9109163,truck0,2021-12-30T09:43:05.000Z,185
122553.561_485630.575-Rest,52.357616,4.9109163,truck0,2021-12-30T09:44:37.000Z,705
122616.070_485671.280-Rest,52.357983,4.91183,truck0,2021-12-30T09:48:18.000Z,55
122616.070_485671.280-Rest,52.357983,4.91183,truck0,2021-12-30T09:49:07.000Z,30
122616.070_485671.280-Rest,52.357983,4.91183,truck0,2021-12-30T09:50:18.000Z,135
122673.792_485678.999-Rest,52.35806,4.9126763,truck0,2021-12-30T09:53:25.000Z,165
122673.792_485678.999-Rest,52.35806,4.9126763,truck0,2021-12-30T09:54:33.000Z,115
122625.340_485981.915-Rest,52.360775,4.9119363,truck0,2021-12-30T10:00:02.000Z,255
122688.096_486000.626-Rest,52.360947,4.9128556,truck0,2021-12-30T10:03:07.000Z,110
122688.096_486000.626-Rest,52.360947,4.9128556,truck0,2021-12-30T10:03:55.000Z,135
122970.715_486091.266-Rest,52.36178,4.9169955,truck0,2021-12-30T10:08:39.000Z,895
122987.666_485251.290-Rest,52.354233,4.9173245,truck0,2021-12-30T10:20:47.000Z,265
123018.299_485117.970-Rest,52.353035,4.9177866,truck0,2021-12-30T10:29:23.000Z,325
121459.478_484946.582-Rest,52.351402,4.8949246,truck0,2021-12-30T10:39:08.000Z,415
122170.507_484222.699-Rest,52.34494,4.905431,truck0,2021-12-30T10:47:24.000Z,425
122170.507_484222.699-Rest,52.34494,4.905431,truck0,2021-12-30T10:48:21.000Z,250
122006.639_484166.993-Rest,52.34443,4.903032,truck0,2021-12-30T10:52:01.000Z,195
122015.694_484059.366-Rest,52.34346,4.903175,truck0,2021-12-30T10:55:53.000Z,240
122015.694_484059.366-Rest,52.34346,4.903175,truck0,2021-12-30T10:57:36.000Z,50
122132.003_483925.888-Rest,52.34227,4.904895,truck0,2021-12-30T11:04:37.000Z,160
122132.003_483925.888-Rest,52.34227,4.904895,truck0,2021-12-30T11:05:45.000Z,225
122120.533_483785.461-Rest,52.341007,4.9047403,truck0,2021-12-30T11:08:32.000Z,205
122120.533_483785.461-Rest,52.341007,4.9047403,truck0,2021-12-30T11:09:41.000Z,120
122207.740_483723.495-Rest,52.340454,4.906026,truck0,2021-12-30T11:12:46.000Z,285
122208.437_483803.909-Rest,52.34118,4.9060283,truck0,2021-12-30T11:17:48.000Z,245
122179.514_483933.663-Rest,52.342342,4.905591,truck0,2021-12-30T11:22:06.000Z,585
122179.514_483933.663-Rest,52.342342,4.905591,truck0,2021-12-30T11:23:55.000Z,595
122137.432_483997.143-Rest,52.34291,4.9049673,truck0,2021-12-30T11:26:24.000Z,20
122137.432_483997.143-Rest,52.34291,4.9049673,truck0,2021-12-30T11:27:42.000Z,80
122142.559_484098.471-Rest,52.343822,4.9050326,truck0,2021-12-30T11:30:21.000Z,255
122142.559_484098.471-Rest,52.343822,4.9050326,truck0,2021-12-30T11:31:34.000Z,285
122122.572_484196.926-Rest,52.344704,4.90473,truck0,2021-12-30T11:34:37.000Z,155
122122.572_484196.926-Rest,52.344704,4.90473,truck0,2021-12-30T11:35:47.000Z,275
122358.774_484149.606-Rest,52.34429,4.9082007,truck0,2021-12-30T11:43:03.000Z,365
122358.774_484149.606-Rest,52.34429,4.9082007,truck0,2021-12-30T11:44:47.000Z,360
122398.428_484030.520-Rest,52.343224,4.908794,truck0,2021-12-30T11:51:17.000Z,295
121532.562_484163.068-Rest,52.344364,4.8960752,truck0,2021-12-30T11:58:05.000Z,600
120921.969_484894.435-Rest,52.3509,4.887041,truck0,2021-12-30T12:04:13.000Z,545
121070.769_484926.406-Rest,52.351196,4.8892217,truck0,2021-12-30T12:07:49.000Z,770
121194.413_484941.418-Rest,52.351337,4.891035,truck0,2021-12-30T12:12:37.000Z,765
122163.869_491353.904-Rest,52.409027,4.9046364,truck0,2021-12-30T12:53:00.000Z,225
121457.538_491209.142-Rest,52.407684,4.894271,truck0,2021-12-30T12:59:01.000Z,185
121457.538_491209.142-Rest,52.407684,4.894271,truck0,2021-12-30T12:59:55.000Z,125
121457.538_491209.142-Rest,52.407684,4.894271,truck0,2021-12-30T13:02:24.000Z,70
121402.148_491109.429-Rest,52.406784,4.893467,truck0,2021-12-30T13:05:15.000Z,90
121402.148_491109.429-Rest,52.406784,4.893467,truck0,2021-12-30T13:06:06.000Z,50
121204.733_490905.000-Rest,52.404938,4.8905864,truck0,2021-12-30T13:11:14.000Z,220
121190.790_490887.301-Rest,52.404778,4.8903832,truck0,2021-12-30T13:12:35.000Z,170
121084.000_490899.420-Rest,52.404877,4.888813,truck0,2021-12-30T13:15:58.000Z,395
121084.000_490899.420-Rest,52.404877,4.888813,truck0,2021-12-30T13:17:12.000Z,90
121101.673_490942.101-Rest,52.405262,4.8890686,truck0,2021-12-30T13:21:56.000Z,370
121084.000_490899.420-Rest,52.404877,4.888813,truck0,2021-12-30T13:23:20.000Z,375
121138.508_490989.412-Rest,52.40569,4.889605,truck0,2021-12-30T13:29:07.000Z,595
123615.611_485613.097-Rest,52.35752,4.9265075,truck1,2021-12-30T05:25:00.000Z,145
123591.689_485509.250-Rest,52.356586,4.926166,truck1,2021-12-30T05:32:49.000Z,220
123591.689_485509.250-Rest,52.356586,4.926166,truck1,2021-12-30T05:33:51.000Z,300
123510.222_485478.162-Rest,52.3563,4.924973,truck1,2021-12-30T05:37:34.000Z,355
123388.425_485423.964-Rest,52.35581,4.9231906,truck1,2021-12-30T05:42:56.000Z,325
123388.425_485423.964-Rest,52.35581,4.9231906,truck1,2021-12-30T05:45:02.000Z,290
123433.374_485515.378-Rest,52.356632,4.9238415,truck1,2021-12-30T05:49:13.000Z,280
123555.559_486074.837-Rest,52.361668,4.925583,truck1,2021-12-30T05:53:11.000Z,290
123640.357_486104.695-Rest,52.36194,4.926825,truck1,2021-12-30T05:56:24.000Z,470
122951.236_486289.272-Rest,52.36356,4.916691,truck1,2021-12-30T06:02:21.000Z,225
122951.236_486289.272-Rest,52.36356,4.916691,truck1,2021-12-30T06:03:29.000Z,145
123392.151_485818.826-Rest,52.359356,4.923208,truck1,2021-12-30T06:10:47.000Z,140
123557.968_485708.847-Rest,52.358376,4.9256525,truck1,2021-12-30T06:15:45.000Z,475
123469.399_485669.110-Rest,52.358013,4.924356,truck1,2021-12-30T06:19:57.000Z,380
123163.424_485458.581-Rest,52.356106,4.9198847,truck1,2021-12-30T06:22:33.000Z,215
123388.296_485631.862-Rest,52.357674,4.923169,truck1,2021-12-30T06:24:52.000Z,185
123346.875_485542.159-Rest,52.356865,4.9225698,truck1,2021-12-30T06:28:04.000Z,295
123310.275_485602.141-Rest,52.357403,4.9220266,truck1,2021-12-30T06:29:19.000Z,320
123473.501_485600.174-Rest,52.357395,4.9244227,truck1,2021-12-30T06:30:40.000Z,300
123214.240_485553.256-Rest,52.35696,4.9206214,truck1,2021-12-30T06:33:00.000Z,90
122606.296_485295.755-Rest,52.35461,4.9117227,truck1,2021-12-30T06:37:57.000Z,130
122606.296_485295.755-Rest,52.35461,4.9117227,truck1,2021-12-30T06:38:44.000Z,160
123553.372_485426.472-Rest,52.35584,4.9256115,truck1,2021-12-30T06:44:35.000Z,480
123553.372_485426.472-Rest,52.35584,4.9256115,truck1,2021-12-30T06:46:44.000Z,110
124888.256_487167.529-Rest,52.37156,4.9450493,truck1,2021-12-30T07:01:41.000Z,400
124779.054_487149.634-Rest,52.371395,4.9434476,truck1,2021-12-30T07:04:42.000Z,400
123466.816_486190.250-Rest,52.362698,4.924269,truck1,2021-12-30T07:15:36.000Z,815
123623.874_486232.200-Rest,52.363083,4.926571,truck1,2021-12-30T07:18:50.000Z,65
123623.874_486232.200-Rest,52.363083,4.926571,truck1,2021-12-30T07:21:08.000Z,225
123485.301_486257.882-Rest,52.363308,4.9245343,truck1,2021-12-30T07:27:00.000Z,130
123485.301_486257.882-Rest,52.363308,4.9245343,truck1,2021-12-30T07:27:57.000Z,300
123594.528_486293.916-Rest,52.363636,4.9261346,truck1,2021-12-30T07:30:41.000Z,275
123404.474_485238.177-Rest,52.354137,4.9234433,truck1,2021-12-30T07:39:23.000Z,190
123220.803_485125.633-Rest,52.353115,4.9207582,truck1,2021-12-30T07:52:09.000Z,360
123085.841_485064.260-Rest,52.35256,4.918783,truck1,2021-12-30T07:57:55.000Z,20
123051.270_485002.208-Rest,52.351997,4.9182816,truck1,2021-12-30T08:08:55.000Z,35
122621.198_485596.886-Rest,52.357315,4.9119124,truck1,2021-12-30T08:15:25.000Z,115
122707.156_485623.770-Rest,52.357563,4.9131713,truck1,2021-12-30T08:18:56.000Z,110
122707.156_485623.770-Rest,52.357563,4.9131713,truck1,2021-12-30T08:19:55.000Z,0
122757.349_485608.714-Rest,52.35743,4.91391,truck1,2021-12-30T08:25:02.000Z,105
122757.349_485608.714-Rest,52.35743,4.91391,truck1,2021-12-30T08:25:58.000Z,225
122617.466_485879.667-Rest,52.359856,4.9118304,truck1,2021-12-30T08:33:22.000Z,0
121469.720_485013.149-Rest,52.352,4.895068,truck1,2021-12-30T08:46:04.000Z,1030
121617.922_485046.545-Rest,52.35231,4.89724,truck1,2021-12-30T08:50:21.000Z,665
121617.922_485046.545-Rest,52.35231,4.89724,truck1,2021-12-30T08:51:50.000Z,855
121616.234_485107.715-Rest,52.35286,4.897209,truck1,2021-12-30T08:55:20.000Z,815
121515.286_485097.142-Rest,52.352757,4.8957286,truck1,2021-12-30T08:59:44.000Z,300
121515.286_485097.142-Rest,52.352757,4.8957286,truck1,2021-12-30T09:00:58.000Z,285
121440.963_485078.278-Rest,52.352585,4.89464,truck1,2021-12-30T09:04:26.000Z,950
121421.830_484992.367-Rest,52.35181,4.8943677,truck1,2021-12-30T09:08:32.000Z,615
121421.830_484992.367-Rest,52.35181,4.8943677,truck1,2021-12-30T09:09:54.000Z,560
121232.206_484949.362-Rest,52.351414,4.8915887,truck1,2021-12-30T09:15:48.000Z,760
121232.206_484949.362-Rest,52.351414,4.8915887,truck1,2021-12-30T09:17:10.000Z,765
121805.326_484504.157-Rest,52.347446,4.9000444,truck1,2021-12-30T09:23:50.000Z,310
122897.087_485539.803-Rest,52.35682,4.9159675,truck1,2021-12-30T09:33:27.000Z,205
122897.087_485539.803-Rest,52.35682,4.9159675,truck1,2021-12-30T09:33:46.000Z,30
122611.356_485427.337-Rest,52.355793,4.911784,truck1,2021-12-30T09:49:36.000Z,230
122969.327_484895.785-Rest,52.351036,4.917089,truck1,2021-12-30T10:02:34.000Z,150
122916.034_484851.432-Rest,52.350636,4.9163113,truck1,2021-12-30T10:10:48.000Z,300
122952.089_485121.921-Rest,52.353065,4.916815,truck1,2021-12-30T10:14:08.000Z,205
121562.792_484880.028-Rest,52.35081,4.8964477,truck1,2021-12-30T10:25:52.000Z,200
121664.308_484904.856-Rest,52.35104,4.897935,truck1,2021-12-30T10:29:28.000Z,830
121582.248_484973.414-Rest,52.35165,4.8967237,truck1,2021-12-30T10:33:57.000Z,770
121459.478_484946.582-Rest,52.351402,4.8949246,truck1,2021-12-30T10:37:34.000Z,320
118489.424_485290.547-Rest,52.354305,4.851297,truck1,2021-12-30T10:56:43.000Z,840
118571.630_485426.537-Rest,52.35553,4.852489,truck1,2021-12-30T11:01:49.000Z,510
118465.512_485620.976-Rest,52.357273,4.85091,truck1,2021-12-30T11:10:06.000Z,220
