id,lat,long,truck_num,date,weight,sum_weight
124589.884_485235.611-Rest,52.35417210388034,4.9408326130590225,truck0,2021-05-27T06:37:15.000Z,130.0,130.0
124376.436_485335.106-Rest,52.35508210389528,4.93764261291122,truck0,2021-05-27T06:42:36.000Z,385.0,515.0
124376.436_485335.106-Rest,52.35508210389528,4.93764261291122,truck0,2021-05-27T06:43:42.000Z,175.0,690.0
124395.149_485048.589-Rest,52.35248210388037,4.9379226129081655,truck0,2021-05-27T06:47:54.000Z,90.0,780.0
124260.177_484921.581-Rest,52.35127210388002,4.9359826128072175,truck0,2021-05-27T06:50:31.000Z,275.0,1055.0
124132.432_484950.220-Rest,52.351582103887466,4.93409261271833,truck0,2021-05-27T06:53:34.000Z,175.0,1230.0
124015.061_485111.633-Rest,52.352922103900006,4.932322612641623,truck0,2021-05-27T06:57:20.000Z,585.0,1815.0
123828.780_485123.239-Rest,52.35326210390992,4.929682612516804,truck0,2021-05-27T07:00:54.000Z,100.0,1915.0
123910.906_485449.386-Rest,52.35602210392162,4.930762612585843,truck0,2021-05-27T07:04:54.000Z,120.0,2035.0
123910.906_485449.386-Rest,52.35602210392162,4.930762612585843,truck0,2021-05-27T07:06:00.000Z,80.0,2115.0
123216.296_485613.027-Rest,52.35761210396079,4.9206726121098585,truck0,2021-05-27T07:06:04.000Z,420.0,2535.0
124022.681_485703.636-Rest,52.35839210392924,4.9325726126877925,truck0,2021-05-27T07:06:15.000Z,370.0,2905.0
123910.906_485449.386-Rest,52.35602210392162,4.930762612585843,truck0,2021-05-27T07:07:14.000Z,295.0,3200.0
124022.681_485703.636-Rest,52.35839210392924,4.9325726126877925,truck0,2021-05-27T07:07:23.000Z,320.0,3520.0
124022.681_485703.636-Rest,52.35839210392924,4.9325726126877925,truck0,2021-05-27T07:08:39.000Z,55.0,3575.0
124022.681_485703.636-Rest,52.35839210392924,4.9325726126877925,truck0,2021-05-27T07:09:51.000Z,380.0,3955.0
124092.941_485740.233-Rest,52.35871210392749,4.93372261274524,truck0,2021-05-27T07:14:07.000Z,265.0,4220.0
124401.461_486493.493-Rest,52.365362103952656,4.938032612995528,truck0,2021-05-27T07:15:56.000Z,355.0,4575.0
124775.788_486213.504-Rest,52.36283210392033,4.943582613247739,truck0,2021-05-27T07:21:10.000Z,550.0,5125.0
124775.788_486213.504-Rest,52.36283210392033,4.943582613247739,truck0,2021-05-27T07:22:21.000Z,455.0,5580.0
124393.097_486173.838-Rest,52.362702103937984,4.9377226129635705,truck0,2021-05-27T07:26:59.000Z,425.0,6005.0
124307.118_486297.137-Rest,52.36380210394716,4.936832612927545,truck0,2021-05-27T07:31:30.000Z,470.0,6475.0
124307.118_486297.137-Rest,52.36380210394716,4.936832612927545,truck0,2021-05-27T07:32:25.000Z,385.0,6860.0
124005.254_486754.264-Rest,52.36775210398535,4.932082612722614,truck0,2021-05-27T07:39:17.000Z,600.0,7460.0
124329.864_486381.244-Rest,52.36447210394986,4.937232612951148,truck0,2021-05-27T07:40:20.000Z,450.0,7910.0
124005.254_486754.264-Rest,52.3676821039847,4.932172612726532,truck0,2021-05-27T07:40:59.000Z,305.0,8215.0
124329.864_486381.244-Rest,52.36447210394986,4.937232612951148,truck0,2021-05-27T07:41:35.000Z,265.0,8480.0
123441.596_486309.341-Rest,52.36386210398699,4.923882612302212,truck0,2021-05-27T07:45:56.000Z,1375.0,9855.0
124203.587_486305.948-Rest,52.36380210395335,4.93483261283085,truck0,2021-05-27T07:47:34.000Z,285.0,10140.0
123826.535_486721.592-Rest,52.36749210399191,4.929422612592241,truck0,2021-05-27T07:47:38.000Z,1550.0,11690.0
123826.535_486721.592-Rest,52.36749210399191,4.929422612592241,truck0,2021-05-27T07:48:26.000Z,0.0,11690.0
124203.587_486305.948-Rest,52.36388210395399,4.934772612828455,truck0,2021-05-27T07:48:43.000Z,485.0,12175.0
123466.020_486382.334-Rest,52.36445210398935,4.924262612324142,truck0,2021-05-27T07:50:32.000Z,480.0,12655.0
123429.243_486877.014-Rest,52.36898210401818,4.923722612325525,truck0,2021-05-27T07:54:41.000Z,450.0,13105.0
123429.243_486877.014-Rest,52.36898210401818,4.923722612325525,truck0,2021-05-27T07:56:04.000Z,305.0,13410.0
123617.275_486435.194-Rest,52.365042103985836,4.926592612440301,truck0,2021-05-27T07:57:06.000Z,315.0,13725.0
124358.923_486120.400-Rest,52.36220210393572,4.937502612949756,truck0,2021-05-27T08:04:56.000Z,225.0,13950.0
124158.036_487027.900-Rest,52.370402103994756,4.9343126128472985,truck1,2021-05-27T06:47:04.000Z,415.0,415.0
124158.036_487027.900-Rest,52.370402103994756,4.9343126128472985,truck1,2021-05-27T06:48:35.000Z,900.0,1315.0
124920.741_486906.684-Rest,52.36907210394974,4.946072613409167,truck1,2021-05-27T06:49:23.000Z,295.0,1610.0
124920.741_486906.684-Rest,52.36907210394974,4.946072613409167,truck1,2021-05-27T06:50:28.000Z,520.0,2130.0
124573.344_486770.168-Rest,52.3679821039601,4.940682613140678,truck1,2021-05-27T06:58:21.000Z,145.0,2275.0
124573.344_486770.168-Rest,52.3679821039601,4.940682613140678,truck1,2021-05-27T06:59:35.000Z,490.0,2765.0
125256.983_486563.826-Rest,52.366082103916774,4.950702613613934,truck1,2021-05-27T07:07:30.000Z,465.0,3230.0
125015.644_487230.302-Rest,52.37201210396462,4.947122613479522,truck1,2021-05-27T07:15:39.000Z,515.0,3745.0
125015.644_487230.302-Rest,52.37201210396462,4.947122613479522,truck1,2021-05-27T07:17:03.000Z,515.0,4260.0
125015.644_487230.302-Rest,52.37201210396462,4.947122613479522,truck1,2021-05-27T07:18:38.000Z,615.0,4875.0
125081.781_487136.782-Rest,52.371322103957965,4.947852613510432,truck1,2021-05-27T07:26:25.000Z,325.0,5200.0
124644.731_487131.046-Rest,52.37118210397758,4.9413926131957835,truck1,2021-05-27T07:31:45.000Z,445.0,5645.0
124263.277_486113.956-Rest,52.362162103939596,4.936182612885727,truck1,2021-05-27T08:01:20.000Z,315.0,5960.0
123863.365_486309.473-Rest,52.363902103968755,4.930002612598045,truck1,2021-05-27T08:02:11.000Z,360.0,6320.0
123462.142_486829.471-Rest,52.36846210401352,4.924212612346077,truck1,2021-05-27T08:02:57.000Z,380.0,6700.0
123711.576_486188.898-Rest,52.362702103968644,4.9277226124805225,truck1,2021-05-27T08:07:44.000Z,340.0,7040.0
123455.953_486997.427-Rest,52.369892104023826,4.923702612330075,truck1,2021-05-27T08:08:10.000Z,410.0,7450.0
123527.030_484828.701-Rest,52.35065210390979,4.925162612283712,truck1,2021-05-27T08:33:11.000Z,400.0,7850.0
123330.841_485025.154-Rest,52.35225210392623,4.9224926121652075,truck1,2021-05-27T08:39:09.000Z,310.0,8160.0
123299.585_484938.222-Rest,52.351392103923956,4.92172261212308,truck1,2021-05-27T08:47:39.000Z,1305.0,9465.0
123176.234_484816.074-Rest,52.35032210392324,4.92007261203753,truck1,2021-05-27T08:49:53.000Z,295.0,9760.0
122755.233_484418.564-Rest,52.34683210392306,4.91404261172813,truck1,2021-05-27T08:59:18.000Z,155.0,9915.0
122755.233_484418.564-Rest,52.34683210392306,4.91404261172813,truck1,2021-05-27T09:00:52.000Z,150.0,10065.0
123459.332_484212.395-Rest,52.34494210388353,4.924212612203612,truck1,2021-05-27T09:09:23.000Z,305.0,10370.0
123218.340_484223.339-Rest,52.34507210389464,4.920722612037384,truck1,2021-05-27T09:13:50.000Z,250.0,10620.0
123218.340_484223.339-Rest,52.34507210389464,4.920722612037384,truck1,2021-05-27T09:15:09.000Z,275.0,10895.0
122414.694_484337.902-Rest,52.346102103934065,4.908982611481915,truck1,2021-05-27T09:16:32.000Z,705.0,11600.0
122414.694_484337.902-Rest,52.34610210393409,4.908972611481437,truck1,2021-05-27T09:17:41.000Z,470.0,12070.0
123310.771_484159.332-Rest,52.34455210388762,4.922202612105084,truck1,2021-05-27T09:19:30.000Z,280.0,12350.0
122343.394_484245.884-Rest,52.34525210393247,4.908062611433101,truck1,2021-05-27T09:20:57.000Z,325.0,12675.0
122343.394_484245.884-Rest,52.34525210393247,4.908062611433101,truck1,2021-05-27T09:22:21.000Z,340.0,13015.0
122358.769_484149.606-Rest,52.34441210392746,4.9083626114426595,truck1,2021-05-27T09:25:43.000Z,335.0,13350.0
122358.769_484149.606-Rest,52.34441210392746,4.9083626114426595,truck1,2021-05-27T09:27:05.000Z,355.0,13705.0
121595.281_483495.498-Rest,52.33825210392969,4.897172610874968,truck1,2021-05-27T09:35:21.000Z,270.0,13975.0
120446.433_485850.884-Rest,52.359402104084545,4.880142610173213,truck2,2021-05-27T06:50:56.000Z,65.0,65.0
120830.082_484948.963-Rest,52.35138210402545,4.885882610406547,truck2,2021-05-27T06:58:23.000Z,80.0,145.0
120296.163_484678.292-Rest,52.34891210403386,4.87790261001289,truck2,2021-05-27T07:03:48.000Z,55.0,200.0
120074.192_484697.178-Rest,52.34905210404289,4.874732609862424,truck2,2021-05-27T07:07:51.000Z,55.0,255.0
120250.446_484857.004-Rest,52.35051210404375,4.877292609991847,truck2,2021-05-27T07:15:56.000Z,25.0,280.0
122506.546_485388.628-Rest,52.35540210397872,4.91039261160273,truck2,2021-05-27T07:35:50.000Z,230.0,510.0
