id,lat,long,avg_weight,container_type,num_weights
112973.480_485077.400-Rest,52.35097210428607,4.771052604958185,288.1,Normal container,40
113011.560_484957.980-Rest,52.35297210429607,4.771332604977386,444.2,Normal container,24
113043.960_485172.926-Rest,52.35200210428933,4.772172605014002,343.4,Normal container,38
113095.022_485087.761-Rest,52.35151210428682,4.772122605010165,256.8,Normal container,22
113103.780_485014.560-Rest,52.350402104280406,4.772442605021858,339.7,Normal container,44
113105.048_484894.139-Rest,52.35291210429184,4.773352605072328,273.8,Normal container,20
113175.566_485179.983-Rest,52.34990210427539,4.773712605080092,395.3,Normal container,32
113192.478_484837.346-Rest,52.35368210429498,4.773842605097761,235.8,Normal container,18
113204.437_485258.428-Rest,52.35082210428002,4.773782605086193,310.3,Normal container,32
113213.498_484941.461-Rest,52.35198210428547,4.774102605104803,309.5,Normal container,39
113224.090_485076.352-Rest,52.353602104292776,4.774762605140863,349.5,Normal container,39
113274.781_485260.492-Rest,52.35033210427504,4.775032605143523,285.4,Normal container,24
113298.766_484885.517-Rest,52.35478210429811,4.7752826051690045,232.3,Normal container,39
113304.419_485380.335-Rest,52.34920210426846,4.775422605158396,302.6,Normal container,36
113305.944_484761.246-Rest,52.35391210429328,4.775362605170094,353.2,Normal container,17
113317.191_485273.069-Rest,52.35130210427877,4.775712605178524,274.9,Normal container,41
113334.394_485003.652-Rest,52.3520021042827,4.775582605174564,277.8,Normal container,18
113335.758_485074.057-Rest,52.35327210428928,4.775662605182258,274.0,Normal container,15
113341.753_485215.886-Rest,52.3532421042889,4.7757726051873455,190.0,Normal container,1
113342.754_485215.511-Rest,52.351002104276525,4.776052605193606,311.3,Normal container,45
113356.637_484969.360-Rest,52.35353210428968,4.776172605207091,248.3,Normal container,18
113373.895_485236.718-Rest,52.3558221043016,4.776402605225038,229.5,Normal container,37
113382.040_485496.552-Rest,52.35505210429689,4.776662605234908,203.3,Normal container,36
113399.055_485410.843-Rest,52.35497210429606,4.776862605244092,261.9,Normal container,48
113407.612_485405.185-Rest,52.3507421042728,4.777272605250244,234.8,Normal container,25
113432.147_484930.673-Rest,52.353162104285815,4.777122605250716,342.1,Normal container,17
113437.136_485193.385-Rest,52.352692104283065,4.777252605255378,266.4,Normal container,38
113437.470_485150.927-Rest,52.348542104261305,4.777342605246687,232.9,Normal container,53
113447.145_484690.574-Rest,52.3545321042929,4.777272605262056,317.1,Normal container,29
113451.838_485351.959-Rest,52.35475210429362,4.777512605274059,312.5,Normal container,12
113465.181_485366.952-Rest,52.35119210427459,4.777552605264831,203.8,Normal container,56
113469.618_484983.079-Rest,52.35285210428268,4.777882605285565,367.1,Normal container,14
113489.607_485159.552-Rest,52.35632210430128,4.7779626053002,252.2,Normal container,38
113491.888_485547.580-Rest,52.34907210426277,4.777962605277516,228.7,Normal container,41
113496.029_484746.173-Rest,52.35446210429061,4.778252605308051,352.2,Normal container,30
113512.037_485329.863-Rest,52.34816210425711,4.778492605299609,220.3,Normal container,79
113515.692_484631.464-Rest,52.35693210430385,4.778342605320047,249.2,Normal container,53
113516.283_485630.432-Rest,52.35224210427832,4.77846260531099,300.7,Normal container,28
113520.958_485095.013-Rest,52.355842104296855,4.77886260534116,395.2,Normal container,31
113556.243_485505.457-Rest,52.34998210426524,4.779112605334506,267.4,Normal container,38
113559.654_484838.184-Rest,52.35406210428665,4.7791626053497085,307.0,Normal container,30
113579.348_485290.552-Rest,52.35629210429823,4.779422605369005,252.7,Normal container,43
113584.115_485556.591-Rest,52.35307210428108,4.779292605352716,281.2,Normal container,29
113587.907_485192.335-Rest,52.358032104307725,4.779472605376866,284.7,Normal container,44
113594.266_485749.576-Rest,52.34915210426003,4.779592605354493,342.2,Normal container,27
113602.624_484746.555-Rest,52.35563210429414,4.779662605378249,246.6,Normal container,46
113606.635_485471.776-Rest,52.35035210426593,4.7797326053648685,227.2,Normal container,41
113611.241_484884.546-Rest,52.34750210425041,4.78020260537799,294.7,Normal container,15
113628.989_484556.097-Rest,52.35708210430126,4.780082605402665,210.8,Normal container,53
113648.455_485636.689-Rest,52.35508210428971,4.780402605411429,355.2,Normal container,26
113665.363_485420.512-Rest,52.35734210430186,4.780522605424268,278.5,Normal container,71
113675.751_485676.657-Rest,52.35427210428506,4.780532605414988,354.6,Normal container,28
113676.377_485324.071-Rest,52.34929210425839,4.78077260541049,138.7,Normal container,35
113686.738_484756.378-Rest,52.352512104274766,4.780992605431088,319.0,Normal container,26
113687.286_485126.332-Rest,52.35631210429581,4.780702605429496,232.7,Normal container,30
113687.742_485561.559-Rest,52.35104210426689,4.7810726054301815,371.7,Normal container,24
113694.662_484969.570-Rest,52.35162210426997,4.781032605430144,301.9,Normal container,61
113700.368_485018.453-Rest,52.34700210424609,4.781112605419219,259.6,Normal container,34
113705.217_484505.660-Rest,52.34848210425323,4.781282605431929,388.1,Normal container,16
113712.987_484683.448-Rest,52.34973210425935,4.7814426054434405,379.4,Normal container,16
113717.360_484813.697-Rest,52.35847210430655,4.781312605465188,194.9,Normal container,51
113728.999_485775.732-Rest,52.35823210430515,4.78135260546631,453.3,Normal container,49
113729.043_485775.656-Rest,52.35542210428916,4.781602605469139,317.9,Normal container,14
113732.742_485457.313-Rest,52.34799210424987,4.781722605451078,327.7,Normal container,26
113738.948_484619.763-Rest,52.35076210426343,4.782062605475938,202.4,Normal container,47
113768.825_484918.957-Rest,52.352842104274,4.782262605492026,263.1,Normal container,48
113781.869_485156.139-Rest,52.35369210427832,4.782362605499466,294.1,Normal container,23
113784.156_485263.238-Rest,52.35744210429927,4.782092605498741,191.1,Normal container,33
113785.381_485683.201-Rest,52.35276210427306,4.782522605504028,338.0,Normal container,32
113790.734_485150.916-Rest,52.35628210429224,4.782422605510608,325.6,Normal container,16
113804.261_485542.373-Rest,52.35039210426006,4.78278260550868,438.6,Normal container,28
113807.715_484893.040-Rest,52.35099210426358,4.78259260550165,232.4,Normal container,36
113810.041_484945.517-Rest,52.34841210425008,4.782682605497615,238.8,Normal container,42
113814.528_484683.268-Rest,52.35192210426798,4.782842605516421,245.0,Normal container,53
113822.559_485069.237-Rest,52.349102104253085,4.782952605512545,350.6,Normal container,57
113829.086_484737.930-Rest,52.35650210429217,4.783062605541538,412.5,Normal container,8
113838.579_485577.546-Rest,52.35276210427127,4.783412605546006,380.9,Normal container,29
113862.373_485140.053-Rest,52.35408210427837,4.783392605549317,293.7,Normal container,41
113871.829_485294.522-Rest,52.35785210429842,4.783652605573768,257.0,Normal container,40
113879.287_485716.767-Rest,52.350052104256505,4.783682605549995,254.6,Normal container,42
113879.330_484844.508-Rest,52.35749210429624,4.783762605577803,349.8,Normal container,54
113885.549_485680.118-Rest,52.347062104240734,4.78393260555212,244.6,Normal container,27
113891.215_484527.453-Rest,52.35553210428528,4.783862605576187,133.0,Normal container,27
113901.773_485468.821-Rest,52.34591210423466,4.784112605556878,347.7,Normal container,26
113902.837_484405.110-Rest,52.35785210429757,4.784092605594564,158.6,Normal container,32
113906.381_485722.071-Rest,52.34760210424332,4.784002605557157,268.9,Normal container,14
113911.962_484606.243-Rest,52.34632210423671,4.784112605558204,321.0,Normal container,34
113912.572_484440.775-Rest,52.3567321042911,4.784242605598018,185.5,Normal container,29
113917.966_485603.044-Rest,52.35437210427828,4.784222605589427,445.6,Normal container,27
113919.168_485330.387-Rest,52.351392104262025,4.784432605589677,346.4,Normal container,56
113920.692_485004.373-Rest,52.35032210425665,4.784322605581027,340.6,Normal container,51
113921.629_484871.006-Rest,52.34563210423256,4.7844526055719685,282.4,Normal container,27
113927.115_484363.900-Rest,52.353642104273966,4.784412605596027,186.5,Normal container,31
113929.774_485256.275-Rest,52.35795210429722,4.784542605616156,246.9,Normal container,34
113948.179_485735.268-Rest,52.346832104237386,4.785052605604097,362.8,Normal container,38
113963.859_484491.668-Rest,52.34678210423724,4.7849826056006375,181.5,Normal container,55
113964.559_484492.889-Rest,52.35189210426355,4.784972605616762,177.5,Normal container,4
113968.565_485066.483-Rest,52.35202210426383,4.785182605627093,191.2,Normal container,25
113975.652_485063.219-Rest,52.35581210428449,4.785012605631403,277.2,Normal container,38
113980.857_485483.552-Rest,52.35487210427878,4.785312605642508,307.6,Normal container,63
113989.492_485390.891-Rest,52.354842104278745,4.785242605639106,281.7,Normal container,3
113989.904_485390.202-Rest,52.35330210427036,4.78530260563692,273.6,Normal container,60
113990.551_485215.229-Rest,52.34523210422827,4.785602605624778,181.7,Normal container,41
114002.027_484315.087-Rest,52.35691210428948,4.785542605660029,256.4,Normal container,33
114009.335_485613.935-Rest,52.34630210423339,4.78572260563391,345.8,Normal container,36
114013.457_484427.780-Rest,52.35148210426001,4.785672605648439,194.6,Normal container,26
114016.908_484999.626-Rest,52.34952210424967,4.785742605645346,263.6,Normal container,65
114020.550_484781.198-Rest,52.3505021042548,4.785712605647132,300.9,Normal container,48
114027.055_484902.470-Rest,52.347972104241215,4.7859926056520665,257.9,Normal container,38
114036.446_484621.799-Rest,52.34556210422954,4.785792605634794,353.7,Normal container,55
114044.218_484356.830-Rest,52.35667210428719,4.786022605681924,223.8,Normal container,34
114046.541_485570.754-Rest,52.35304210426764,4.7859726056676895,244.8,Normal container,69
114047.894_485179.097-Rest,52.3459921042302,4.786522605670551,297.2,Normal container,34
114060.212_484399.620-Rest,52.35826210429531,4.786362605703209,205.5,Normal container,29
114064.108_485758.547-Rest,52.3496021042486,4.786492605680953,281.7,Normal container,41
114067.470_484802.906-Rest,52.347042104235584,4.786452605670691,285.5,Normal container,94
114075.751_484521.136-Rest,52.344462104222174,4.786762605676837,277.3,Normal container,30
114088.185_484223.474-Rest,52.35914210429827,4.787332605751985,244.8,Normal container,26
114088.478_485859.280-Rest,52.35717210428859,4.786702605715702,494.8,Normal container,29
114090.205_485649.616-Rest,52.355072104276815,4.786842605715415,252.0,Normal container,22
114096.236_485401.928-Rest,52.35262210426346,4.786942605712085,357.2,Normal container,34
114100.806_485141.833-Rest,52.351492104257616,4.786892605706012,247.4,Normal container,36
114103.111_485016.581-Rest,52.353282104266434,4.787212605727,227.5,Normal container,28
114111.138_485212.120-Rest,52.34661210423205,4.787142605701771,461.2,Normal container,17
114114.011_484480.206-Rest,52.3508521042537,4.7871626057166425,217.4,Normal container,49
114122.349_484929.720-Rest,52.35433210427206,4.787192605729511,237.0,Normal container,56
114125.669_485332.894-Rest,52.34844210424054,4.787512605725216,272.7,Normal container,37
114131.792_484670.724-Rest,52.35929210429908,4.787362605753894,185.0,Normal container,25
114140.704_485879.658-Rest,52.34868210424175,4.787542605727417,40.0,Normal container,1
114148.620_484698.324-Rest,52.34796210423823,4.787452605720806,261.0,Normal container,30
114150.738_484632.758-Rest,52.35936210429787,4.788142605791032,326.0,Normal container,31
114184.855_485884.238-Rest,52.34745210423438,4.788082605748803,310.4,Normal container,71
114185.165_484567.887-Rest,52.350992104252406,4.788162605764271,211.3,Normal container,50
114188.450_484952.713-Rest,52.344162104217766,4.788222605744537,321.5,Normal container,27
114194.537_484195.692-Rest,52.34787210423551,4.788582605773748,187.6,Normal container,45
114200.748_484609.412-Rest,52.3519621042559,4.788952605804757,249.8,Normal container,24
114209.973_485026.465-Rest,52.35000210424617,4.788692605785988,463.7,Normal container,27
114210.107_484849.960-Rest,52.35848210429199,4.788632605811296,276.6,Normal container,85
114215.141_485790.258-Rest,52.34929210424253,4.788692605783636,306.0,Normal container,72
114221.286_484774.399-Rest,52.35360210426487,4.788822605804066,250.0,Normal container,35
114224.934_485249.205-Rest,52.354942104272055,4.788832605808988,322.7,Normal container,15
114238.711_485406.488-Rest,52.35764210428633,4.789092605830259,384.4,Normal container,16
114244.975_485696.401-Rest,52.34828210423682,4.788952605792542,360.1,Normal container,46
114245.480_484658.173-Rest,52.34475210421849,4.789282605796368,244.4,Normal container,52
114248.137_484275.675-Rest,52.34385210421468,4.788992605779735,445.8,Normal container,33
114250.481_484160.013-Rest,52.356312104278224,4.789472605843793,241.1,Normal container,53
114254.834_485533.332-Rest,52.36144210430759,4.7892026058481285,225.3,Normal container,18
114260.233_486106.168-Rest,52.36315210431731,4.789272605857156,368.0,Normal container,5
114260.437_486304.001-Rest,52.35309210426112,4.789332605826449,260.0,Normal container,2
114261.744_485175.262-Rest,52.35415210426697,4.789242605825728,210.4,Normal container,12
114265.322_485319.261-Rest,52.356812104280834,4.78954260584877,277.5,Normal container,16
114276.871_485603.250-Rest,52.36310210431671,4.789412605863624,294.3,Normal container,48
114278.606_486289.412-Rest,52.353582104263246,4.789572605839412,290.3,Normal container,61
114287.312_485250.699-Rest,52.3453921042206,4.789812605823444,294.5,Normal container,11
114289.124_484338.198-Rest,52.34952210424165,4.789712605832489,340.9,Normal container,32
114292.274_484798.098-Rest,52.34912210423936,4.789822605836341,236.9,Normal container,31
114295.316_484753.309-Rest,52.34353210421145,4.789812605817254,340.2,Normal container,31
114299.507_484127.413-Rest,52.35112210424907,4.790142605858109,266.5,Normal container,27
114310.069_484959.947-Rest,52.38170210443295,4.789532605931762,376.2,Normal container,26
114314.109_488373.133-Rest,52.35575210427376,4.790182605875479,362.7,Normal container,90
114317.237_485478.655-Rest,52.36204210430934,4.7900226058889785,321.3,Normal container,70
