date,truck_num,tot_weight
2020-01-09,truck0,12945.0
2020-01-09,truck1,12965.0
2020-01-09,truck2,12950.0
2020-01-09,truck3,12990.0
2020-01-09,truck4,12995.0
2020-01-09,truck5,12980.0
2020-01-09,truck6,12960.0
2020-01-09,truck7,12915.0
2020-01-09,truck8,12995.0
2020-01-09,truck9,12780.0
2020-01-09,truck10,6850.0
2020-01-09,truck11,2920.0
2020-01-09,truck12,11470.0
2020-01-09,truck13,1485.0
2020-01-09,truck14,4850.0
2020-01-09,truck15,12970.0
2020-01-09,truck16,8545.0
2020-01-09,truck17,8850.0
2020-01-09,truck18,3125.0
2020-01-09,truck19,3535.0
2020-01-09,truck20,9670.0
2020-01-09,truck21,12655.0
2020-01-09,truck22,2765.0
2020-01-10,truck0,12970.0
2020-01-10,truck1,12985.0
2020-01-10,truck2,12995.0
2020-01-10,truck3,12985.0
2020-01-10,truck4,12970.0
2020-01-10,truck5,12715.0
2020-01-10,truck6,12990.0
2020-01-10,truck7,12960.0
2020-01-10,truck8,12960.0
2020-01-10,truck9,700.0
2020-01-10,truck10,8195.0
2020-01-10,truck11,12940.0
2020-01-10,truck12,10775.0
2020-01-10,truck13,2990.0
2020-01-10,truck14,12835.0
2020-01-10,truck15,2885.0
2020-01-10,truck16,3080.0
2020-01-10,truck17,2285.0
2020-01-10,truck18,8070.0
2020-01-10,truck19,4200.0
2020-01-10,truck20,12385.0
2020-01-10,truck21,370.0
2020-01-10,truck22,5375.0
2020-01-11,truck0,7730.0
2020-01-11,truck1,12585.0
2020-01-11,truck2,1920.0
2020-01-11,truck3,12890.0
2020-01-11,truck4,10605.0
2020-01-11,truck5,80.0
2020-01-11,truck6,7815.0
2020-01-11,truck7,155.0
2020-01-11,truck8,12830.0
2020-01-11,truck9,4570.0
2020-01-11,truck10,9750.0
2020-01-11,truck11,12670.0
2020-01-11,truck12,5850.0
2020-01-13,truck0,12995.0
2020-01-13,truck1,12995.0
2020-01-13,truck2,12995.0
2020-01-13,truck3,12990.0
2020-01-13,truck4,12990.0
2020-01-13,truck5,12980.0
2020-01-13,truck6,12960.0
2020-01-13,truck7,12820.0
2020-01-13,truck8,12710.0
2020-01-13,truck9,12960.0
2020-01-13,truck10,12970.0
2020-01-13,truck11,12805.0
2020-01-13,truck12,12980.0
2020-01-13,truck13,12920.0
2020-01-13,truck14,12975.0
2020-01-13,truck15,12790.0
2020-01-13,truck16,510.0
2020-01-13,truck17,6445.0
2020-01-13,truck18,12810.0
2020-01-13,truck19,12790.0
2020-01-13,truck20,6345.0
2020-01-13,truck21,3875.0
2020-01-13,truck22,5995.0
2020-01-13,truck23,12895.0
2020-01-13,truck24,4735.0
2020-01-13,truck25,11095.0
2020-01-13,truck26,4625.0
2020-01-13,truck27,10410.0
2020-01-13,truck28,2450.0
2020-01-13,truck29,3140.0
2020-01-13,truck30,100.0
2020-01-13,truck31,2715.0
2020-01-13,truck32,2005.0
2020-01-14,truck0,12990.0
2020-01-14,truck1,12975.0
2020-01-14,truck2,12995.0
2020-01-14,truck3,12940.0
2020-01-14,truck4,12970.0
2020-01-14,truck5,12940.0
2020-01-14,truck6,12930.0
2020-01-14,truck7,7685.0
2020-01-14,truck8,12965.0
2020-01-14,truck9,5265.0
2020-01-14,truck10,12985.0
2020-01-14,truck11,11805.0
2020-01-14,truck12,6490.0
2020-01-14,truck13,12755.0
2020-01-14,truck14,12590.0
2020-01-14,truck15,9955.0
2020-01-14,truck16,5010.0
2020-01-14,truck17,12980.0
2020-01-14,truck18,12045.0
2020-01-14,truck19,12965.0
2020-01-14,truck20,5120.0
2020-01-14,truck21,12480.0
2020-01-14,truck22,1125.0
2020-01-14,truck23,7095.0
2020-01-14,truck24,7960.0
2020-01-14,truck25,7460.0
2020-01-14,truck26,5420.0
2020-01-14,truck27,3105.0
2020-01-15,truck0,12970.0
2020-01-15,truck1,12980.0
2020-01-15,truck2,12780.0
2020-01-15,truck3,12965.0
2020-01-15,truck4,12870.0
2020-01-15,truck5,12855.0
2020-01-15,truck6,945.0
2020-01-15,truck7,12710.0
2020-01-15,truck8,8535.0
2020-01-15,truck9,12985.0
2020-01-15,truck10,8580.0
2020-01-15,truck11,3915.0
2020-01-15,truck12,12865.0
2020-01-15,truck13,3390.0
2020-01-15,truck14,3540.0
2020-01-15,truck15,12625.0
2020-01-15,truck16,11145.0
2020-01-15,truck17,1985.0
2020-01-15,truck18,12300.0
2020-01-15,truck19,4015.0
2020-01-15,truck20,10050.0
2020-01-15,truck21,2595.0
2020-01-15,truck22,2905.0
2020-01-16,truck0,12995.0
2020-01-16,truck1,12990.0
2020-01-16,truck2,12860.0
2020-01-16,truck3,12960.0
2020-01-16,truck4,12985.0
2020-01-16,truck5,12985.0
2020-01-16,truck6,12915.0
2020-01-16,truck7,12995.0
2020-01-16,truck8,12945.0
2020-01-16,truck9,12845.0
2020-01-16,truck10,12945.0
2020-01-16,truck11,12960.0
2020-01-16,truck12,2980.0
2020-01-16,truck13,5440.0
2020-01-16,truck14,5755.0
2020-01-16,truck15,4315.0
2020-01-16,truck16,5840.0
2020-01-16,truck17,12835.0
2020-01-16,truck18,2140.0
2020-01-16,truck19,2085.0
2020-01-16,truck20,6135.0
2020-01-16,truck21,1475.0
2020-01-16,truck22,10640.0
2020-01-16,truck23,145.0
2020-01-16,truck24,6225.0
2020-01-16,truck25,1140.0
2020-01-16,truck26,5190.0
2020-01-17,truck0,12975.0
2020-01-17,truck1,12975.0
2020-01-17,truck2,12980.0
2020-01-17,truck3,12965.0
2020-01-17,truck4,12985.0
2020-01-17,truck5,12970.0
2020-01-17,truck6,10520.0
2020-01-17,truck7,12945.0
2020-01-17,truck8,10000.0
2020-01-17,truck9,6460.0
2020-01-17,truck10,1280.0
2020-01-17,truck11,12265.0
2020-01-17,truck12,12885.0
2020-01-17,truck13,11025.0
2020-01-17,truck14,10470.0
2020-01-17,truck15,10.0
2020-01-17,truck16,7560.0
2020-01-17,truck17,7640.0
2020-01-17,truck18,660.0
2020-01-17,truck19,11065.0
2020-01-17,truck20,5015.0
2020-01-17,truck21,1210.0
2020-01-18,truck0,7120.0
2020-01-18,truck1,8495.0
2020-01-18,truck2,8585.0
2020-01-18,truck3,5670.0
2020-01-18,truck4,475.0
2020-01-18,truck5,145.0
2020-01-18,truck6,1465.0
2020-01-18,truck7,4635.0
2020-01-18,truck8,2490.0
2020-01-19,truck0,4060.0
2020-01-19,truck1,240.0
2020-01-19,truck2,2075.0
2020-01-20,truck0,12910.0
2020-01-20,truck1,12995.0
2020-01-20,truck2,12840.0
2020-01-20,truck3,12665.0
2020-01-20,truck4,12870.0
2020-01-20,truck5,12935.0
2020-01-20,truck6,12995.0
2020-01-20,truck7,12960.0
2020-01-20,truck8,12985.0
2020-01-20,truck9,10345.0
2020-01-20,truck10,9890.0
2020-01-20,truck11,12965.0
2020-01-20,truck12,12950.0
2020-01-20,truck13,2195.0
2020-01-20,truck14,12945.0
2020-01-20,truck15,12935.0
2020-01-20,truck16,6575.0
2020-01-20,truck17,1420.0
2020-01-20,truck18,12595.0
2020-01-20,truck19,10875.0
2020-01-20,truck20,7725.0
2020-01-20,truck21,1135.0
2020-01-20,truck22,3010.0
2020-01-20,truck23,645.0
2020-01-20,truck24,12850.0
2020-01-20,truck25,875.0
2020-01-20,truck26,2445.0
2020-01-20,truck27,6280.0
2020-01-20,truck28,865.0
2020-01-20,truck29,1080.0
2020-01-21,truck0,12965.0
2020-01-21,truck1,12990.0
2020-01-21,truck2,12970.0
2020-01-21,truck3,12665.0
2020-01-21,truck4,12980.0
2020-01-21,truck5,12995.0
2020-01-21,truck6,12890.0
2020-01-21,truck7,12995.0
2020-01-21,truck8,12975.0
2020-01-21,truck9,12995.0
2020-01-21,truck10,12975.0
2020-01-21,truck11,12960.0
2020-01-21,truck12,11440.0
2020-01-21,truck13,6070.0
2020-01-21,truck14,12930.0
2020-01-21,truck15,10065.0
2020-01-21,truck16,12970.0
2020-01-21,truck17,12790.0
2020-01-21,truck18,4585.0
2020-01-21,truck19,8310.0
2020-01-21,truck20,235.0
2020-01-21,truck21,12915.0
2020-01-21,truck22,11380.0
2020-01-21,truck23,2135.0
2020-01-21,truck24,12940.0
2020-01-21,truck25,375.0
2020-01-21,truck26,7470.0
2020-01-21,truck27,9955.0
2020-01-21,truck28,7840.0
2020-01-21,truck29,8435.0
2020-01-21,truck30,295.0
2020-01-21,truck31,1170.0
2020-01-22,truck0,4155.0
2020-01-22,truck1,12990.0
2020-01-22,truck2,12995.0
2020-01-22,truck3,12855.0
2020-01-22,truck4,12990.0
2020-01-22,truck5,12995.0
2020-01-22,truck6,12995.0
2020-01-22,truck7,12960.0
2020-01-22,truck8,12995.0
2020-01-22,truck9,12995.0
2020-01-22,truck10,12865.0
