id,dateObserved,lat,long,weight,day_diff
119622.267_486030.926-Rest,2020-01-02T05:31:37.000Z,52.36103,4.8678465,145,1
119833.523_486086.019-Rest,2020-01-02T05:35:19.000Z,52.36154,4.870942,185,1
119833.523_486086.019-Rest,2020-01-02T05:36:22.000Z,52.36154,4.870942,250,0
119946.733_486133.777-Rest,2020-01-02T05:40:25.000Z,52.361977,4.8725986,305,1
119946.733_486133.777-Rest,2020-01-02T05:42:40.000Z,52.361977,4.8725986,1025,0
120064.880_486202.591-Rest,2020-01-02T05:46:02.000Z,52.362602,4.874326,290,1
120064.880_486202.591-Rest,2020-01-02T05:49:29.000Z,52.362602,4.874326,200,0
120012.766_486200.854-Rest,2020-01-02T05:52:24.000Z,52.362583,4.8735614,200,1
120012.766_486200.854-Rest,2020-01-02T05:53:42.000Z,52.362583,4.8735614,185,0
119765.157_486074.434-Rest,2020-01-02T06:01:27.000Z,52.36143,4.8699393,345,1
119622.267_486030.926-Rest,2020-01-02T06:05:03.000Z,52.36103,4.8678465,885,0
123648.465_486510.013-Rest,2020-01-02T06:06:04.000Z,52.36558,4.926906,535,1
122291.125_484750.276-Rest,2020-01-02T06:06:33.000Z,52.34969,4.90715,120,1
122632.014_489029.859-Rest,2020-01-02T06:07:00.000Z,52.38817,4.9117403,2645,1
122632.014_489029.859-Rest,2020-01-02T06:07:22.000Z,52.38817,4.9117403,2655,0
122291.125_484750.276-Rest,2020-01-02T06:08:01.000Z,52.34969,4.90715,110,0
119558.186_485992.587-Rest,2020-01-02T06:08:47.000Z,52.360683,4.86691,70,1
123588.940_486424.895-Rest,2020-01-02T06:10:20.000Z,52.364815,4.92604,285,1
122676.698_488664.687-Rest,2020-01-02T06:10:36.000Z,52.38489,4.912432,2760,1
122468.158_485615.114-Rest,2020-01-02T06:10:48.000Z,52.35747,4.909664,290,1
122468.158_485615.114-Rest,2020-01-02T06:11:47.000Z,52.35747,4.909664,405,0
123588.940_486424.895-Rest,2020-01-02T06:11:52.000Z,52.364815,4.92604,250,0
123303.780_485319.715-Rest,2020-01-02T06:13:51.000Z,52.354866,4.921958,405,1
122241.515_485677.390-Rest,2020-01-02T06:15:17.000Z,52.358017,4.906331,190,1
123367.029_485349.869-Rest,2020-01-02T06:16:15.000Z,52.35514,4.9228835,550,1
122909.129_489940.987-Rest,2020-01-02T06:18:01.000Z,52.396374,4.915724,2530,1
120893.231_482973.819-Rest,2020-01-02T06:18:15.000Z,52.333637,4.886814,270,1
122730.199_488547.194-Rest,2020-01-02T06:18:24.000Z,52.38384,4.913229,2790,1
123082.122_488938.935-Rest,2020-01-02T06:18:39.000Z,52.38738,4.9183607,2670,1
120893.231_482973.819-Rest,2020-01-02T06:19:29.000Z,52.333637,4.886814,240,0
119980.407_486034.832-Rest,2020-01-02T06:19:38.000Z,52.36109,4.8731036,1020,1
119980.407_486034.832-Rest,2020-01-02T06:20:55.000Z,52.36109,4.8731036,400,0
122354.199_485579.663-Rest,2020-01-02T06:21:22.000Z,52.357147,4.9079947,330,1
118878.701_484287.623-Rest,2020-01-02T06:23:07.000Z,52.345318,4.857118,340,1
122701.195_488437.028-Rest,2020-01-02T06:23:48.000Z,52.382847,4.9128137,2620,1
122318.013_485470.151-Rest,2020-01-02T06:24:00.000Z,52.35616,4.9074745,185,1
118878.701_484287.623-Rest,2020-01-02T06:24:01.000Z,52.345318,4.857118,175,0
123384.712_488877.250-Rest,2020-01-02T06:25:14.000Z,52.38684,4.922811,2600,1
122701.195_488437.028-Rest,2020-01-02T06:26:11.000Z,52.382847,4.9128137,90,0
120548.116_482967.117-Rest,2020-01-02T06:26:13.000Z,52.333557,4.8817515,80,1
123622.761_485456.373-Rest,2020-01-02T06:26:46.000Z,52.35611,4.926627,215,1
119732.477_486028.341-Rest,2020-01-02T06:26:59.000Z,52.361015,4.8694644,60,1
120548.116_482967.117-Rest,2020-01-02T06:27:04.000Z,52.333557,4.8817515,150,0
118770.801_484264.477-Rest,2020-01-02T06:27:30.000Z,52.3451,4.8555374,300,1
123803.905_486428.396-Rest,2020-01-02T06:27:41.000Z,52.364857,4.929196,235,1
122980.685_490062.728-Rest,2020-01-02T06:28:00.000Z,52.397472,4.916764,2540,1
118770.801_484264.477-Rest,2020-01-02T06:28:37.000Z,52.3451,4.8555374,395,0
123622.761_485456.373-Rest,2020-01-02T06:28:58.000Z,52.35611,4.926627,180,0
123085.669_485705.543-Rest,2020-01-02T06:29:12.000Z,52.35832,4.91872,315,1
123808.691_486370.835-Rest,2020-01-02T06:31:06.000Z,52.36434,4.9292717,455,1
119005.345_484317.011-Rest,2020-01-02T06:31:18.000Z,52.34559,4.8589735,440,1
