date,truck_num,tot_weight
2020-01-06,truck45,175.0
2020-01-06,truck46,7955.0
2020-01-06,truck47,265.0
2020-01-06,truck48,3150.0
2020-01-07,truck0,12990.0
2020-01-07,truck1,12990.0
2020-01-07,truck2,10710.0
2020-01-07,truck3,12995.0
2020-01-07,truck4,12990.0
2020-01-07,truck5,12985.0
2020-01-07,truck6,12995.0
2020-01-07,truck7,12990.0
2020-01-07,truck8,12990.0
2020-01-07,truck9,12900.0
2020-01-07,truck10,12975.0
2020-01-07,truck11,12375.0
2020-01-07,truck12,12815.0
2020-01-07,truck13,12930.0
2020-01-07,truck14,12990.0
2020-01-07,truck15,12995.0
2020-01-07,truck16,12970.0
2020-01-07,truck17,12985.0
2020-01-07,truck18,12970.0
2020-01-07,truck19,12980.0
2020-01-07,truck20,12910.0
2020-01-07,truck21,10345.0
2020-01-07,truck22,12865.0
2020-01-07,truck23,12985.0
2020-01-07,truck24,12950.0
2020-01-07,truck25,12840.0
2020-01-07,truck26,10645.0
2020-01-07,truck27,11435.0
2020-01-07,truck28,4950.0
2020-01-07,truck29,12880.0
2020-01-07,truck30,11275.0
2020-01-07,truck31,9075.0
2020-01-07,truck32,12975.0
2020-01-07,truck33,8225.0
2020-01-07,truck34,12910.0
2020-01-07,truck35,12890.0
2020-01-07,truck36,12905.0
2020-01-07,truck37,12170.0
2020-01-07,truck38,8935.0
2020-01-07,truck39,295.0
2020-01-07,truck40,810.0
2020-01-07,truck41,10975.0
2020-01-07,truck42,3470.0
2020-01-07,truck43,0.0
2020-01-07,truck44,690.0
2020-01-07,truck45,1195.0
2020-01-07,truck46,1410.0
2020-01-08,truck0,12940.0
2020-01-08,truck1,12980.0
2020-01-08,truck2,12900.0
2020-01-08,truck3,12965.0
2020-01-08,truck4,12985.0
2020-01-08,truck5,12995.0
2020-01-08,truck6,12970.0
2020-01-08,truck7,12975.0
2020-01-08,truck8,12985.0
2020-01-08,truck9,12985.0
2020-01-08,truck10,12965.0
2020-01-08,truck11,12970.0
2020-01-08,truck12,4635.0
2020-01-08,truck13,12890.0
2020-01-08,truck14,12990.0
2020-01-08,truck15,9540.0
2020-01-08,truck16,12920.0
2020-01-08,truck17,12900.0
2020-01-08,truck18,10195.0
2020-01-08,truck19,12975.0
