id,dateObserved,lat,long,weight
119781.937_487050.374-Rest,2020-09-10T04:24:39.000Z,52.37031210417531,4.870092609745362,320.0
119781.937_487050.374-Rest,2020-09-10T04:26:02.000Z,52.37032210417539,4.87008260974493,200.0
118795.375_488520.011-Rest,2020-09-10T04:27:52.000Z,52.38326210429585,4.855542609106255,145.0
119715.610_487025.916-Rest,2020-09-10T04:29:16.000Z,52.37008210417648,4.869072609695188,250.0
118762.928_488347.093-Rest,2020-09-10T04:31:55.000Z,52.38171210428681,4.854972609071579,815.0
119847.154_486876.100-Rest,2020-09-10T04:33:18.000Z,52.36868210416262,4.871132609787338,290.0
120000.384_486733.397-Rest,2020-09-10T04:36:37.000Z,52.36739210414925,4.873272609883791,345.0
118682.568_488447.537-Rest,2020-09-10T04:37:35.000Z,52.382712104296594,4.8537126090154254,780.0
120000.384_486733.397-Rest,2020-09-10T04:37:50.000Z,52.36738210414921,4.873282609884222,535.0
118682.568_488447.537-Rest,2020-09-10T04:38:39.000Z,52.382712104296594,4.8537126090154254,780.0
120019.330_486685.202-Rest,2020-09-10T04:40:50.000Z,52.36690210414546,4.873612609897689,350.0
118729.985_488502.477-Rest,2020-09-10T04:42:42.000Z,52.38326210429849,4.854472609054625,645.0
120055.460_486580.127-Rest,2020-09-10T04:43:38.000Z,52.36603210413902,4.874062609914973,295.0
118729.985_488502.477-Rest,2020-09-10T04:44:14.000Z,52.38326210429849,4.854472609054625,955.0
120223.746_486717.876-Rest,2020-09-10T04:48:41.000Z,52.36730210413988,4.876662610046271,365.0
120163.602_486684.195-Rest,2020-09-10T04:51:21.000Z,52.36708210414105,4.87572260999998,185.0
120144.332_486674.894-Rest,2020-09-10T04:54:05.000Z,52.36694210414124,4.8753226099800555,420.0
120144.332_486674.894-Rest,2020-09-10T04:55:17.000Z,52.366882104140934,4.875292609978311,415.0
119993.042_486607.733-Rest,2020-09-10T04:58:55.000Z,52.3663621041432,4.873222609876267,385.0
119993.042_486607.733-Rest,2020-09-10T05:00:28.000Z,52.366352104143175,4.873212609875739,275.0
120105.266_486781.687-Rest,2020-09-10T05:09:28.000Z,52.36787210414829,4.874762609957798,390.0
120105.266_486781.687-Rest,2020-09-10T05:11:06.000Z,52.36789210414815,4.874862609962706,360.0
120230.085_486661.872-Rest,2020-09-10T05:19:50.000Z,52.36672210413622,4.876732610046708,550.0
120094.338_486618.484-Rest,2020-09-10T05:27:40.000Z,52.366502104139926,4.874802609952861,385.0
126462.836_478941.427-Rest,2020-09-10T05:27:50.000Z,52.297682103562614,4.968872614013329,190.0
120075.512_486661.845-Rest,2020-09-10T05:33:24.000Z,52.366902104143186,4.874482609939489,125.0
126885.723_478781.648-Rest,2020-09-10T05:34:20.000Z,52.296232103537584,4.9751126142960596,45.0
120042.656_486758.458-Rest,2020-09-10T05:37:53.000Z,52.36768210414927,4.873942609917435,310.0
126634.884_478679.166-Rest,2020-09-10T05:38:19.000Z,52.29538210354857,4.971302614111188,465.0
126714.701_478767.710-Rest,2020-09-10T05:42:36.000Z,52.29613210354648,4.972462614170943,70.0
119921.322_486923.714-Rest,2020-09-10T05:42:49.000Z,52.369222104163185,4.872202609841448,505.0
126924.990_478628.581-Rest,2020-09-10T05:46:20.000Z,52.29490210353226,4.975702614314209,165.0
119921.322_486923.714-Rest,2020-09-10T05:47:05.000Z,52.369202104163044,4.872192609840865,480.0
126751.191_478465.218-Rest,2020-09-10T05:50:47.000Z,52.293332103536734,4.973312614190903,180.0
120052.789_487304.968-Rest,2020-09-10T05:53:00.000Z,52.37231210417733,4.8741326099497035,235.0
126710.922_478519.111-Rest,2020-09-10T05:53:35.000Z,52.293982103540635,4.972632614163645,185.0
126534.159_478393.130-Rest,2020-09-10T05:57:18.000Z,52.292822103546726,4.970042614034048,190.0
126352.982_478321.284-Rest,2020-09-10T06:01:14.000Z,52.29218210355473,4.967262613899345,165.0
126423.271_478268.033-Rest,2020-09-10T06:06:34.000Z,52.29169210355029,4.968242613941811,200.0
123615.611_485613.097-Rest,2020-09-10T06:08:35.000Z,52.357452103942556,4.926472612388091,150.0
123567.354_485592.349-Rest,2020-09-10T06:11:06.000Z,52.35728210394366,4.92578261235383,145.0
127026.725_478440.402-Rest,2020-09-10T06:11:35.000Z,52.293342103523415,4.977182614372406,355.0
121656.439_491053.855-Rest,2020-09-10T06:12:30.000Z,52.40636210435609,4.897202611250579,2875.0
120349.078_482617.510-Rest,2020-09-10T06:12:48.000Z,52.33044210394494,4.8788126099630125,230.0
119291.628_482316.963-Rest,2020-09-10T06:13:16.000Z,52.327582103972766,4.8634626092238715,265.0
123463.408_486115.252-Rest,2020-09-10T06:13:24.000Z,52.36203210397487,4.9243726123147615,135.0
126699.430_481678.295-Rest,2020-09-10T06:13:45.000Z,52.32230210363048,4.97210261433995,590.0
123510.222_485478.162-Rest,2020-09-10T06:14:56.000Z,52.356292103940646,4.9249726123088235,355.0
126619.101_481623.598-Rest,2020-09-10T06:16:22.000Z,52.32188210363322,4.97083261427658,195.0
120136.897_482554.962-Rest,2020-09-10T06:16:27.000Z,52.32978210395047,4.875672609811195,110.0
123552.541_486145.240-Rest,2020-09-10T06:16:45.000Z,52.362292103972635,4.925612612376173,500.0
127164.934_478652.814-Rest,2020-09-10T06:17:29.000Z,52.29508210352036,4.979262614482576,235.0
120136.897_482554.962-Rest,2020-09-10T06:17:51.000Z,52.32978210395047,4.875672609811195,90.0
122867.404_485824.579-Rest,2020-09-10T06:18:03.000Z,52.35933210398574,4.9154926118707385,70.0
119453.274_482372.904-Rest,2020-09-10T06:18:36.000Z,52.32820210397005,4.865542609324962,240.0
123431.741_485514.632-Rest,2020-09-10T06:18:40.000Z,52.356622103946265,4.923702612249713,310.0
126582.227_481672.925-Rest,2020-09-10T06:19:12.000Z,52.32232210363655,4.970352614256873,125.0
123661.685_486181.991-Rest,2020-09-10T06:19:48.000Z,52.36267210397005,4.927212612455719,220.0
120124.063_482619.735-Rest,2020-09-10T06:21:03.000Z,52.33044210395371,4.875482609805491,160.0
119453.274_482372.904-Rest,2020-09-10T06:21:08.000Z,52.328202103969666,4.865692609332039,80.0
121892.643_490845.337-Rest,2020-09-10T06:21:47.000Z,52.40442210433126,4.900682611410355,1735.0
123153.835_485389.771-Rest,2020-09-10T06:22:03.000Z,52.35536210395098,4.919792612054103,245.0
